iter	Logloss
212	0.4067060834
213	0.4058013644
214	0.4050124032
215	0.4046254839
216	0.4041317985
217	0.4037343888
218	0.4033208575
219	0.4026764007
220	0.4023410252
221	0.4018254053
222	0.4013468424
223	0.4008482978
224	0.4003665561
225	0.3999719166
226	0.3993707839
227	0.3990707397
228	0.3983315967
229	0.3976424989
230	0.3975138891
231	0.3971518562
232	0.3966852824
233	0.3963681176
234	0.3958290645
235	0.3954570407
236	0.3952580861
237	0.3950605392
238	0.3945151284
239	0.3939975103
240	0.3934230804
241	0.3927748544
242	0.3923870268
243	0.3918011983
244	0.3917422976
245	0.391339075
246	0.3909304937
247	0.3906313578
248	0.3901552927
249	0.3895977565
250	0.3892103377
251	0.3889710108
252	0.3886422203
253	0.3881981259
254	0.3877446765
255	0.3872129804
256	0.3867530823
257	0.3863365991
258	0.3859427316
259	0.3855379195
260	0.3851588113
261	0.3847612199
262	0.384181613
263	0.3839194888
264	0.3833977836
265	0.3829407465
266	0.3824036916
267	0.3819125493
268	0.3815843491
269	0.3809558778
270	0.3804662341
271	0.3803105354
272	0.3799214136
273	0.3795721872
274	0.3791802724
275	0.3788863591
276	0.3783602487
277	0.3782100223
278	0.3780031204
279	0.3775379544
280	0.377153601
281	0.377082416
282	0.3766336895
283	0.3762204534
284	0.3759600094
285	0.3756895974
286	0.3753963198
287	0.3749112402
288	0.3744958923
289	0.3743008432
290	0.3738598142
291	0.37348032
292	0.3731301853
293	0.372841063
294	0.3723464012
295	0.3720303944
296	0.3717173168
297	0.3714503107
298	0.3712223825
299	0.3709920702
300	0.3705686842
301	0.3701329912
302	0.36977911
303	0.3691277958
304	0.3687617438
305	0.3683448065
306	0.3678283691
307	0.3674746922
308	0.3671565283
309	0.3668480374
310	0.366385687
311	0.3660185451
312	0.365576676
313	0.3653609866
314	0.3648389635
315	0.3646115803
316	0.3642129444
317	0.3638579051
318	0.3636415118
319	0.3633451916
320	0.3630805243
321	0.3627956027
322	0.3623627935
323	0.3618033954
324	0.3615955171
325	0.3612887065
326	0.3610672497
327	0.3605658667
328	0.360244978
329	0.3597255888
330	0.3595060167
331	0.3592556999
332	0.3588888305
333	0.3585938726
334	0.3582273665
335	0.3579036849
336	0.3574454444
337	0.3571724665
338	0.356884366
339	0.3565002169
340	0.3559759458
341	0.3555185
342	0.355275472
343	0.3550413677
344	0.3546787671
345	0.3544998623
346	0.3540625799
347	0.3537701879
348	0.3536267054
349	0.3532925106
350	0.3532393773
351	0.3528342701
352	0.3524464653
353	0.3522608621
354	0.3519471941
355	0.35162022
356	0.3515350705
357	0.3512161119
358	0.350975082
359	0.350887889
360	0.3504727681
361	0.3501741773
362	0.3498388699
363	0.349637849
364	0.3494348526
365	0.3493452072
366	0.3489747274
367	0.3489374206
368	0.3487587883
369	0.348359108
370	0.3481824512
371	0.3479426702
372	0.3476715088
373	0.3474477813
374	0.3469592503
375	0.3467854772
376	0.3464183353
377	0.3462816193
378	0.346151579
379	0.3457266717
380	0.3455340749
381	0.3451232002
382	0.3449314889
383	0.3445307414
384	0.3444349652
385	0.3441296759
386	0.3438017709
387	0.3435512043
388	0.3435092199
389	0.3434058144
390	0.3433581307
391	0.3431088811
392	0.3428119024
393	0.3426049096
394	0.3424008914
395	0.34213082
396	0.3420520056
397	0.3418354534
398	0.3414953777
399	0.3411458787
400	0.3407241049
401	0.3404394558
402	0.340162913
403	0.3398013796
404	0.3395941825
405	0.339287826
406	0.3389543806
407	0.338490418
408	0.3383362634
409	0.338095892
410	0.3378656705
411	0.3378385589
412	0.3374620392
413	0.3371549788
414	0.3366112936
415	0.3363782111
416	0.3360194025
417	0.3358880452
418	0.3355528514
419	0.3352113224
420	0.3351106644
421	0.3348479271
422	0.3346947715
423	0.3344616436
424	0.3343530382
425	0.3342242922
426	0.3339644614
427	0.3338522684
428	0.3335964793
429	0.3331818354
430	0.3327747527
431	0.3325518199
432	0.3324631736
433	0.3324301129
434	0.3320854959
435	0.3319020498
436	0.3316085906
437	0.3314468293
438	0.3311298007
439	0.3309344791
440	0.3307172912
441	0.330488432
442	0.3299918402
443	0.3297673407
444	0.3294154576
445	0.3291534015
446	0.3289538338
447	0.3287140528
448	0.3281784058
449	0.3278835842
450	0.3275398754
451	0.3272597222
452	0.3271087919
453	0.3267389479
454	0.3265254611
455	0.3264040266
456	0.3261203539
457	0.325888225
458	0.3256881351
459	0.3254761242
460	0.3252418155
461	0.3247186343
462	0.3244505383
463	0.3243582816
464	0.3241684777
465	0.3240401177
466	0.3237041292
467	0.3234280632
468	0.3231483868
469	0.3229815165
470	0.322709515
471	0.322543394
472	0.3222296579
473	0.3221233005
474	0.3218755041
475	0.3216733251
476	0.3213030724
477	0.3212934222
478	0.3211228507
479	0.3209909257
480	0.3207228297
481	0.3205919493
482	0.3203009424
483	0.3200766927
484	0.3198119118
485	0.3196163859
486	0.3194254239
487	0.3192590532
488	0.3190671376
489	0.3189112572
490	0.3188151405
491	0.3185490881
492	0.3183948426
493	0.3182272684
494	0.3179965246
495	0.3176616941
496	0.317607698
497	0.3172956421
498	0.317036992
499	0.3167507081
500	0.3166141056
501	0.316427299
502	0.3161519823
503	0.3161406971
504	0.3158019384
505	0.3155234201
506	0.3153161775
507	0.3151010332
508	0.3149409748
509	0.314854304
510	0.3145541009
511	0.3143550555
512	0.3138105529
513	0.3135987918
514	0.3133738609
515	0.3130133038
516	0.3128048579
517	0.3126580375
518	0.3124707994
519	0.3120123772
520	0.3116991633
521	0.3114841779
522	0.3110521407
523	0.3109629495
524	0.3108444214
525	0.3105577287
526	0.3104084333
527	0.3100851377
528	0.3098710832
529	0.3096877961
530	0.3093075979
531	0.3091861861
532	0.3090608461
533	0.3087581453
534	0.3086713836
535	0.3085453851
536	0.3084586461
537	0.3081540153
538	0.3079200018
539	0.3076082184
540	0.3073833556
541	0.307262239
542	0.3072290648
543	0.3069985935
544	0.3067549297
545	0.306522324
546	0.306133906
547	0.3060875166
548	0.3058106559
549	0.3055430594
550	0.3055190813
551	0.3054062752
552	0.3052378155
553	0.3048897244
554	0.3046901113
555	0.3046134086
556	0.3043871153
557	0.304181326
558	0.3040387063
559	0.303906963
560	0.3035640262
561	0.3033328738
562	0.3031063307
563	0.30294491
564	0.3028328078
565	0.3026444344
566	0.3022263391
567	0.302121117
568	0.3019021352
569	0.3016612189
570	0.3014369238
571	0.3011342003
572	0.300788448
573	0.3006336575
574	0.3005936941
575	0.3005201703
576	0.300413495
577	0.3003757114
578	0.3001695815
579	0.2999477841
580	0.2994894073
581	0.2993293717
582	0.2991290774
583	0.2989584151
584	0.2986024448
585	0.2984557833
586	0.2981656392
587	0.2980610075
588	0.2978390739
589	0.2976208868
590	0.2974559239
591	0.2972548349
592	0.297069822
593	0.2968963896
594	0.2966784069
595	0.2966615359
596	0.2965244793
597	0.2959765934
598	0.2957183747
599	0.2955764589
600	0.2953308423
601	0.2950083415
602	0.294655482
603	0.2944585255
604	0.2943654514
605	0.2943423816
606	0.294305756
607	0.2939842315
608	0.2937544641
609	0.2934957232
610	0.2932492211
611	0.2928677513
612	0.2926633017
613	0.2923097838
614	0.2919274739
615	0.2916990235
616	0.2916191646
617	0.2914835158
618	0.2912430082
619	0.2911664645
620	0.2909745262
621	0.2908200536
622	0.2905711901
623	0.2902686709
624	0.2900425593
625	0.2900082952
626	0.2898059572
627	0.28942174
628	0.2891974676
629	0.2890555518
630	0.2888784863
631	0.2885315986
632	0.2883911587
633	0.2881563732
634	0.2881449972
635	0.2879380726
636	0.2876342592
637	0.2874750864
638	0.2873864628
639	0.2870597612
640	0.2867644628
641	0.2863990239
642	0.2861760911
643	0.2859262058
644	0.2855020705
645	0.2853031613
646	0.2849797975
647	0.2847461473
648	0.2846270062
649	0.2844334784
650	0.2840694019
651	0.2839095252
652	0.2837966283
653	0.283718427
654	0.2834966523
655	0.2834032604
656	0.28319268
657	0.2829143206
658	0.2826908202
659	0.2823559897
660	0.2822190693
661	0.2819872811
662	0.2817965008
663	0.2816158022
664	0.2814847401
665	0.2812030656
666	0.2808765003
667	0.2808155332
668	0.2806321553
669	0.2804619017
670	0.2802537736
671	0.2802033651
672	0.2800000963
673	0.2796702158
674	0.279508182
675	0.2792461486
676	0.278967267
677	0.2788329806
678	0.2787218094
679	0.278584889
680	0.2783787137
681	0.2781477883
682	0.2779923848
683	0.2777983348
684	0.2777027857
685	0.2775678862
686	0.277438845
687	0.2771993819
688	0.2770633243
689	0.2767742248
690	0.2764937083
691	0.2763949349
692	0.2762670517
693	0.2760022254
694	0.2757943471
695	0.2756476402
696	0.2754725502
697	0.2751383781
698	0.2748948052
699	0.274780773
700	0.2745971907
701	0.2744497572
702	0.2741936729
703	0.274114359
704	0.274008978
705	0.2737864994
706	0.2735339573
707	0.2733549163
708	0.2731959706
709	0.2729862758
710	0.2728576887
711	0.2727325076
712	0.272693248
713	0.272541137
714	0.2722811018
715	0.2719723611
716	0.2718877565
717	0.2715414138
718	0.2714044026
719	0.2710476376
720	0.2709394182
721	0.2707994325
722	0.2705889656
723	0.2704483668
724	0.2701494807
725	0.2699922834
726	0.2698283423
727	0.2695845649
728	0.269404593
729	0.2692909695
730	0.2689292999
731	0.2687261672
732	0.268515496
733	0.268355642
734	0.2681421098
735	0.2680815288
736	0.2679572332
737	0.2677720842
738	0.2676403636
739	0.2674283527
740	0.2671131407
741	0.2668676376
742	0.2666007905
743	0.2664921397
744	0.2663208417
745	0.2661780857
746	0.2658657801
747	0.2658290863
748	0.2656310854
749	0.2653512046
750	0.2652011145
751	0.2651472092
752	0.2648121062
753	0.2645138786
754	0.2640891302
755	0.2639785948
756	0.2636372021
757	0.2634425844
758	0.2632664726
759	0.2630916323
760	0.2629563468
761	0.2628493082
762	0.262728464
763	0.2624898184
764	0.2622946785
765	0.2621883211
766	0.2621193159
767	0.2619692939
768	0.2618363471
769	0.2616880962
770	0.2614082382
771	0.2611136209
772	0.2608868735
773	0.2607866696
774	0.2604287011
775	0.2602796555
776	0.2602340153
777	0.2600644884
778	0.25994923
779	0.2597901026
780	0.2597268422
781	0.2595060893
782	0.2592716898
783	0.259116082
784	0.258951278
785	0.2587689445
786	0.2586295264
787	0.2585659481
788	0.2584644953
789	0.2582517806
790	0.257948058
791	0.2577495121
792	0.257480803
793	0.2572581427
794	0.2570917947
795	0.2569708597
796	0.2567972229
797	0.2564766521
798	0.2564234507
799	0.2561755862
800	0.2558593296
801	0.2555478414
802	0.2552416665
803	0.2549758639
804	0.254841305
805	0.2546696663
806	0.254539626
807	0.2542460078
808	0.2540594737
809	0.253741832
810	0.2536679677
811	0.2534838631
812	0.2533246222
813	0.2531290963
814	0.2530288923
815	0.2528372038
816	0.2526125681
817	0.2524389085
818	0.2522073473
819	0.2521504902
820	0.2520142737
821	0.2517614138
822	0.2513761066
823	0.2510921387
824	0.2508984974
825	0.250733035
826	0.2505142348
827	0.2502069246
828	0.2500517936
829	0.2498804047
830	0.2497385116
831	0.2495187805
832	0.2492888996
833	0.2492498897
834	0.2490760712
835	0.2489212127
836	0.2487522307
837	0.2485649699
838	0.2482816832
839	0.2482391766
840	0.2481060936
841	0.2479013943
842	0.2477173578
843	0.247601827
844	0.2474568458
845	0.247372264
846	0.2472964468
847	0.2471215838
848	0.2468033064
849	0.2465698151
850	0.2464907283
851	0.2462639127
852	0.2459428197
853	0.2458805357
854	0.2455636887
855	0.2454101926
856	0.2451787222
857	0.2451029278
858	0.2448775882
859	0.2447845368
860	0.2446558362
861	0.2445799964
862	0.2443369457
863	0.2442411014
864	0.2441967555
865	0.2440501849
866	0.2439329511
867	0.2438308625
868	0.2437088376
869	0.2436141514
870	0.2434879485
871	0.2433607919
872	0.243246964
873	0.2431137448
874	0.2429298446
875	0.2427008493
876	0.2426394508
877	0.2424426306
878	0.2423050063
879	0.2421543485
880	0.2420370011
881	0.2419594356
882	0.2418048268
883	0.2415619351
884	0.2415546463
885	0.2414598692
886	0.2412137077
887	0.2411816007
888	0.2409547397
889	0.240749291
890	0.2406146186
891	0.2404156867
892	0.2403341929
893	0.2401283128
894	0.2400410516
895	0.2398195721
896	0.2397863297
897	0.239686262
898	0.2393678484
899	0.2391832897
900	0.2390641258
901	0.2388736861
902	0.2387054307
903	0.2384406499
904	0.2383230527
905	0.2382593609
906	0.2381715093
907	0.2380874952
908	0.2379038902
909	0.2375711259
910	0.2372881344
911	0.237099148
912	0.2368453344
913	0.2367719469
914	0.2365482194
915	0.236327353
916	0.2361232667
917	0.2359584627
918	0.235851197
919	0.2356478373
920	0.2354448863
921	0.2350867362
922	0.2349575134
923	0.234731538
924	0.23454514
925	0.2342978886
926	0.234137308
927	0.2340099244
928	0.2338758196
929	0.2338181677
930	0.2335990724
931	0.2334839049
932	0.2333765938
933	0.2331531843
934	0.2329577946
935	0.2328338623
936	0.2327558881
937	0.2324665842
938	0.2322919028
939	0.2320917674
940	0.2317722184
941	0.2315444946
942	0.231459436
943	0.2313830739
944	0.2312823704
945	0.2311888649
946	0.2311012177
947	0.2309996287
948	0.2308523314
949	0.2305279232
950	0.2303149133
951	0.2302260626
952	0.2301022666
953	0.2300109409
954	0.2298631214
955	0.2296849205
956	0.229409286
957	0.2291595595
958	0.2289659636
959	0.2288049289
960	0.228583949
961	0.2283338819
962	0.2281982331
963	0.2280103139
964	0.227733226
965	0.2275445121
966	0.2274001894
967	0.2271701268
968	0.2269237836
969	0.226803825
970	0.2265721503
971	0.2263968331
972	0.2263704255
973	0.2262271018
974	0.2260273525
975	0.2257600512
976	0.2255200431
977	0.2253735633
978	0.2252613249
979	0.22515029
980	0.2250113714
981	0.2249092829
982	0.2248258818
983	0.2246459779
984	0.2245026997
985	0.2243720009
986	0.2242119653
987	0.2239301318
988	0.2238743646
989	0.223639738
990	0.2235820407
991	0.2233645121
992	0.2232869239
993	0.2232551802
994	0.2230125609
995	0.2228785469
996	0.2227220762
997	0.2226112684
998	0.2223090444
999	0.2221210116
