,nov,sahe,otaq,kupca,qiymet,elani_yerlesdiren,baxis_sayi,Adres_1,Adres_2,Adres_3,Adres_4,Adres_5,Adres_6,Adres_7,Adres_8,Adres_9,Adres_10,min_mertebe,max_mertebe,ID
302,Yeni tikili,90,3,var,143000,vasitəçi (agent),157,Zərifə Əliyeva adına park,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,15,18,302
303,Köhnə tikili,60,3,var,78000,vasitəçi (agent),247,Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,9,9,303
304,Yeni tikili,138.8,3,yoxdur,138800,vasitəçi (agent),123,Səbail r.,,,,,,,,,,4,16,304
305,Köhnə tikili,150,4,var,250000,vasitəçi (agent),145,Rusiya səfirliyi,Zabitlər parkı,Park Zorge,Sevil Qazıyeva parkı,Sirk,Nəsimi r.,,,,,3,6,305
306,Köhnə tikili,90,3,var,210000,vasitəçi (agent),2521,Sahil m.,Malokan bağı,Sahil bağı,Xalça Muzeyi,Nizami kinoteatrı,Pedaqoji Universiteti,Nəsimi r.,,,,2,5,306
307,Yeni tikili,95,3,yoxdur,99000,mülkiyyətçi,1273,Xırdalan,,,,,,,,,,5,7,307
308,Yeni tikili,112,2,var,190000,vasitəçi (agent),122,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,15,19,308
309,Yeni tikili,142,3,yoxdur,240000,vasitəçi (agent),245,Ağ şəhər,Xətai r.,,,,,,,,,2,7,309
310,Yeni tikili,110,3,yoxdur,95000,vasitəçi (agent),191,Yasamal r.,Yeni Yasamal q.,,,,,,,,,2,11,310
311,Yeni tikili,50,1,yoxdur,49000,vasitəçi (agent),434,Bakı Asiya Universiteti,Nəsimi r.,3-cü mikrorayon q.,,,,,,,,19,19,311
312,Yeni tikili,86,2,var,43000,vasitəçi (agent),258,Xırdalan,,,,,,,,,,12,12,312
313,Yeni tikili,125,3,var,215000,vasitəçi (agent),169,Bakı Slavyan Universiteti,Azərbaycan Dillər Universiteti,Dostluq kinoteatrı,28 May m.,Nəsimi r.,,,,,,11,17,313
314,Yeni tikili,128,3,var,72000,vasitəçi (agent),146,Xırdalan,,,,,,,,,,8,12,314
315,Yeni tikili,50,1,yoxdur,73000,vasitəçi (agent),1270,Nəsimi r.,,,,,,,,,,10,13,315
316,Yeni tikili,61,2,yoxdur,35000,mülkiyyətçi,2892,Xırdalan,,,,,,,,,,10,11,316
317,Köhnə tikili,80,3,var,270000,vasitəçi (agent),617,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,1,5,317
318,Yeni tikili,140,4,var,270000,vasitəçi (agent),155,Ağ şəhər,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,3,16,318
319,Yeni tikili,167,3,var,265000,vasitəçi (agent),101,Təhsil Nazirliyi,Nərimanov r.,,,,,,,,,5,16,319
320,Yeni tikili,155,3,yoxdur,186000,mülkiyyətçi,721,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,8,18,320
321,Köhnə tikili,32,1,var,48000,vasitəçi (agent),623,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,5,5,321
322,Yeni tikili,154,4,yoxdur,310000,mülkiyyətçi,161,Nərimanov r.,,,,,,,,,,18,19,322
323,Yeni tikili,88,2,var,120000,vasitəçi (agent),165,Qara Qarayev m.,Nizami r.,8-ci kilometr q.,,,,,,,,9,13,323
324,Yeni tikili,215,4,var,470000,vasitəçi (agent),1524,Zoopark,Şərq bazarı,Nərimanov r.,,,,,,,,3,18,324
325,Köhnə tikili,170,5,var,100000,mülkiyyətçi,1024,Sumqayıt,,,,,,,,,,2,5,325
326,Köhnə tikili,72,3,var,62000,mülkiyyətçi,261,Suraxanı r.,Hövsan q.,,,,,,,,,3,5,326
327,Yeni tikili,412,5,yoxdur,220000,vasitəçi (agent),573,Şərq bazarı,Nərimanov r.,,,,,,,,,18,19,327
328,Yeni tikili,90,3,yoxdur,156000,vasitəçi (agent),342,Təhsil Nazirliyi,Nərimanov r.,,,,,,,,,10,17,328
329,Yeni tikili,136,3,yoxdur,136000,vasitəçi (agent),572,Zərifə Əliyeva adına park,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,3,17,329
330,Yeni tikili,90,2,var,110000,vasitəçi (agent),177,Yasamal r.,Yeni Yasamal q.,,,,,,,,,4,17,330
331,Yeni tikili,60,2,var,78000,vasitəçi (agent),182,Neapol dairəsi,Xətai r.,Əhmədli q.,,,,,,,,16,17,331
332,Köhnə tikili,65,2,var,95000,vasitəçi (agent),171,Nəsimi m.,Azadlıq Prospekti m.,Binəqədi r.,6-cı mikrorayon q.,,,,,,,3,9,332
333,Yeni tikili,158,3,yoxdur,205000,vasitəçi (agent),1372,Nəsimi bazarı,Koala parkı,Nəsimi r.,,,,,,,,8,17,333
334,Yeni tikili,105,3,var,105000,mülkiyyətçi,744,Xırdalan,,,,,,,,,,4,10,334
335,Yeni tikili,68.2,2,var,60000,mülkiyyətçi,4156,20 Yanvar m.,Yasamal r.,,,,,,,,,16,16,335
336,Yeni tikili,102,3,var,100000,vasitəçi (agent),138,Sumqayıt,,,,,,,,,,7,10,336
337,Köhnə tikili,90,4,var,88000,vasitəçi (agent),147,Suraxanı r.,Qaraçuxur q.,,,,,,,,,2,9,337
338,Köhnə tikili,40,2,var,56000,vasitəçi (agent),388,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,,4,5,338
339,Köhnə tikili,80,3,var,108000,vasitəçi (agent),149,Xətai r.,Əhmədli q.,,,,,,,,,4,9,339
340,Yeni tikili,85,2,var,157000,vasitəçi (agent),128,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,5,20,340
341,Yeni tikili,140,3,var,245000,vasitəçi (agent),1063,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,10,18,341
342,Yeni tikili,68,2,var,110000,vasitəçi (agent),292,20 Yanvar m.,,,,,,,,,,8,16,342
343,Yeni tikili,125,3,yoxdur,233000,mülkiyyətçi,3482,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,8,12,343
344,Köhnə tikili,65,3,var,145000,mülkiyyətçi,1261,Gənclik m.,Respublika stadionu,Nərimanov r.,,,,,,,,4,5,344
345,Yeni tikili,136.5,3,yoxdur,102000,mülkiyyətçi,138,Bakı Dövlət Universiteti,Yasamal r.,Yeni Yasamal q.,,,,,,,,9,18,345
346,Yeni tikili,140,3,yoxdur,168000,vasitəçi (agent),145,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,16,16,346
347,Yeni tikili,102,3,yoxdur,145500,mülkiyyətçi,171,Bakı Asiya Universiteti,,,,,,,,,,15,20,347
348,Yeni tikili,180,4,var,249000,vasitəçi (agent),196,Tibb Universiteti,Nəsimi r.,,,,,,,,,14,18,348
349,Yeni tikili,90,3,var,198000,vasitəçi (agent),160,İncəsənət və Mədəniyyət Un.,Elmlər Akademiyası m.,Yasamal r.,Yasamal q.,,,,,,,17,19,349
350,Köhnə tikili,160,4,var,365000,vasitəçi (agent),303,Texniki Universiteti,Hüseyn Cavid parkı,Elmlər Akademiyası m.,Yasamal r.,,,,,,,2,5,350
351,Köhnə tikili,35,1,var,82500,vasitəçi (agent),140,M.Hüseynzadə parkı,İzmir parkı,Sevil Qazıyeva parkı,Nəsimi r.,,,,,,,3,6,351
352,Yeni tikili,185,4,var,420000,vasitəçi (agent),591,28 May m.,Neft Akademiyası,Bakı Musiqi Akademiyası,Səməd Vurğun parkı,Nəsimi r.,,,,,,9,18,352
353,Yeni tikili,135,3,yoxdur,159000,vasitəçi (agent),538,Memar Əcəmi m.,Nəsimi r.,,,,,,,,,11,14,353
354,Yeni tikili,106,3,var,130000,vasitəçi (agent),140,Həzi Aslanov m.,Ukrayna dairəsi,Xətai r.,,,,,,,,15,17,354
355,Yeni tikili,122,3,var,174999,vasitəçi (agent),137,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,2,18,355
356,Yeni tikili,98,2,yoxdur,98000,vasitəçi (agent),3309,Zərifə Əliyeva adına park,6-cı mikrorayon q.,,,,,,,,,16,17,356
357,Yeni tikili,147,3,var,270000,vasitəçi (agent),233,Space TV,Nərimanov heykəli,Texniki Universiteti,Sovetski,Yasamal r.,,,,,,4,16,357
358,Yeni tikili,200,4,var,540000,vasitəçi (agent),123,Park Zorge,Rusiya səfirliyi,Nəsimi bazarı,Koala parkı,Nəsimi r.,,,,,,16,18,358
359,Yeni tikili,216,4,yoxdur,367000,vasitəçi (agent),126,TQDK,Gənclik m.,Nərimanov r.,,,,,,,,7,11,359
360,Yeni tikili,140,3,yoxdur,275000,vasitəçi (agent),457,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,9,17,360
361,Yeni tikili,160,4,yoxdur,285000,vasitəçi (agent),3759,Elmlər Akademiyası m.,Hüseyn Cavid parkı,Yasamal r.,,,,,,,,10,16,361
362,Köhnə tikili,80,3,var,128000,vasitəçi (agent),316,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,1,9,362
363,Yeni tikili,130,4,yoxdur,158000,vasitəçi (agent),139,Həzi Aslanov m.,Xətai r.,Əhmədli q.,,,,,,,,2,15,363
364,Yeni tikili,86,3,yoxdur,42000,vasitəçi (agent),165,Xırdalan,,,,,,,,,,13,13,364
365,Yeni tikili,65,2,var,125000,vasitəçi (agent),223,Dövlət Statistika Komitəsi,İncəsənət və Mədəniyyət Un.,Nizami m.,Yasamal r.,,,,,,,5,10,365
366,Köhnə tikili,60,2,var,55000,vasitəçi (agent),558,Nərimanov r.,,,,,,,,,,5,9,366
367,Yeni tikili,103,3,yoxdur,200000,vasitəçi (agent),381,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,,5,15,367
368,Köhnə tikili,110,5,var,125000,vasitəçi (agent),113,Suraxanı r.,,,,,,,,,,7,7,368
369,Köhnə tikili,35,1,var,78500,vasitəçi (agent),154,Sahil bağı,Malokan bağı,Sahil m.,Pedaqoji Universiteti,Nizami kinoteatrı,Xalça Muzeyi,Milli Konservatoriya,Səbail r.,,,1,3,369
370,Yeni tikili,90,3,yoxdur,52500,vasitəçi (agent),3548,Abşeron r.,Masazır q.,,,,,,,,,9,10,370
371,Köhnə tikili,60,2,var,93000,vasitəçi (agent),203,Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,5,9,371
