,nov,sahe,otaq,kupca,qiymet,elani_yerlesdiren,baxis_sayi,Adres_1,Adres_2,Adres_3,Adres_4,Adres_5,Adres_6,Adres_7,Adres_8,Adres_9,Adres_10,min_mertebe,max_mertebe,ID
442,Yeni tikili,97,2,var,195000,vasitəçi (agent),407,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,6,19,442
443,Yeni tikili,86,2,yoxdur,135000,vasitəçi (agent),138,İnşaatçılar m.,Yasamal r.,,,,,,,,,4,10,443
444,Yeni tikili,157,3,yoxdur,211950,vasitəçi (agent),158,Xətai r.,,,,,,,,,,13,22,444
445,Köhnə tikili,100,4,var,117000,vasitəçi (agent),215,Yasamal r.,Yeni Yasamal q.,,,,,,,,,4,9,445
446,Yeni tikili,69,2,var,155000,vasitəçi (agent),177,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,16,18,446
447,Yeni tikili,78,2,var,127000,vasitəçi (agent),186,Səbail r.,Bayıl q.,,,,,,,,,2,20,447
448,Yeni tikili,60,2,yoxdur,58500,mülkiyyətçi,129,Abşeron r.,,,,,,,,,,2,8,448
449,Köhnə tikili,118,4,var,380000,vasitəçi (agent),434,Fontanlar bağı,Azərbaycan kinoteatrı,Mərkəzi Univermaq,M.Ə.Sabir parkı,Xalça Muzeyi,Sahil m.,İçəri Şəhər m.,Səbail r.,,,3,4,449
450,Yeni tikili,52,2,var,65000,vasitəçi (agent),159,Xırdalan,,,,,,,,,,13,15,450
451,Yeni tikili,148,3,var,270000,vasitəçi (agent),750,Space TV,Nərimanov heykəli,Texniki Universiteti,Yasamal r.,Yasamal q.,,,,,,4,17,451
452,Yeni tikili,100,2,yoxdur,119000,vasitəçi (agent),162,Binəqədi r.,7-ci mikrorayon q.,,,,,,,,,11,18,452
453,Köhnə tikili,45,2,var,67000,mülkiyyətçi,196,Neftçilər m.,Nizami r.,8-ci kilometr q.,,,,,,,,5,5,453
454,Yeni tikili,76,2,yoxdur,75000,vasitəçi (agent),224,İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.,,,,,,,,9,19,454
455,Yeni tikili,159,3,var,222600,vasitəçi (agent),180,Cavanşir körpüsü,Xətai r.,,,,,,,,,11,17,455
456,Yeni tikili,97,2,yoxdur,124000,mülkiyyətçi,210,Tibb Universiteti,Nəsimi r.,,,,,,,,,3,16,456
457,Köhnə tikili,40,2,var,63000,mülkiyyətçi,142,Xətai r.,Əhmədli q.,,,,,,,,,9,9,457
458,Köhnə tikili,75,3,var,135000,vasitəçi (agent),205,Şəhidlər xiyabanı,Səbail r.,Badamdar q.,,,,,,,,5,9,458
459,Yeni tikili,65,2,var,180000,mülkiyyətçi,1043,Nəsimi r.,,,,,,,,,,14,19,459
460,Köhnə tikili,80,4,var,88000,vasitəçi (agent),279,Sumqayıt,,,,,,,,,,2,5,460
461,Yeni tikili,39,2,var,46000,vasitəçi (agent),163,Abşeron r.,Masazır q.,,,,,,,,,4,9,461
462,Yeni tikili,137,3,var,240000,vasitəçi (agent),383,İnşaatçılar m.,Yasamal r.,,,,,,,,,15,17,462
463,Köhnə tikili,43,2,var,165000,mülkiyyətçi,6645,Gənclik m.,Respublika stadionu,Nərimanov r.,,,,,,,,5,5,463
464,Yeni tikili,133,3,var,190000,vasitəçi (agent),2885,İnşaatçılar m.,Yasamal r.,,,,,,,,,5,10,464
465,Yeni tikili,145,3,var,295000,vasitəçi (agent),154,Elmlər Akademiyası m.,Hüseyn Cavid parkı,Yasamal r.,Yasamal q.,,,,,,,11,17,465
466,Yeni tikili,150,3,var,350000,vasitəçi (agent),132,Ağ şəhər,Xətai r.,,,,,,,,,3,5,466
467,Köhnə tikili,30,1,var,56000,vasitəçi (agent),399,Yasamal bazarı,Yasamal r.,,,,,,,,,1,5,467
468,Yeni tikili,75,2,var,95000,vasitəçi (agent),172,Əhmədli m.,Xətai r.,Əhmədli q.,,,,,,,,13,16,468
469,Yeni tikili,54,1,var,38700,vasitəçi (agent),323,Sabunçu r.,Zabrat q.,,,,,,,,,8,10,469
470,Yeni tikili,126,3,yoxdur,202000,vasitəçi (agent),147,Neftçi bazası,Nərimanov r.,,,,,,,,,3,18,470
471,Köhnə tikili,54,2,var,55000,mülkiyyətçi,132,Suraxanı r.,Hövsan q.,,,,,,,,,5,5,471
472,Yeni tikili,96,2,var,202000,mülkiyyətçi,83,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,13,18,472
473,Yeni tikili,126,3,var,185000,mülkiyyətçi,164,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,,8,16,473
474,Yeni tikili,82,2,yoxdur,118000,vasitəçi (agent),134,Yasamal bazarı,İnşaatçılar m.,Yasamal r.,,,,,,,,16,17,474
475,Yeni tikili,208,5,yoxdur,352000,vasitəçi (agent),126,Yasamal r.,,,,,,,,,,7,18,475
476,Yeni tikili,46,2,var,85000,vasitəçi (agent),124,20 Yanvar m.,Yasamal r.,,,,,,,,,12,19,476
477,Yeni tikili,165,4,var,350000,mülkiyyətçi,3423,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,5,20,477
478,Yeni tikili,118.3,3,yoxdur,142000,mülkiyyətçi,1348,Bakı Dövlət Universiteti,Yasamal r.,Yasamal q.,,,,,,,,3,18,478
479,Yeni tikili,244,7,var,340000,vasitəçi (agent),308,Beşmərtəbə,Nizami m.,Yasamal r.,,,,,,,,7,10,479
480,Yeni tikili,425,5,var,720000,vasitəçi (agent),460,Nəsimi bazarı,Koala parkı,Park Zorge,Dostluq kinoteatrı,Nəsimi r.,,,,,,16,17,480
481,Yeni tikili,147,4,yoxdur,100000,vasitəçi (agent),143,Yasamal r.,,,,,,,,,,19,22,481
482,Yeni tikili,64,2,var,105000,vasitəçi (agent),184,Bakı,,,,,,,,,,14,18,482
483,Yeni tikili,169,4,var,450000,mülkiyyətçi,128,28 May m.,Neft Akademiyası,Bakı Musiqi Akademiyası,Səməd Vurğun parkı,Milli Konservatoriya,Nəsimi r.,,,,,5,22,483
484,Köhnə tikili,47,2,var,95000,vasitəçi (agent),127,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,5,5,484
485,Köhnə tikili,77,3,yoxdur,165000,vasitəçi (agent),105,Space TV,Yasamal r.,,,,,,,,,3,5,485
486,Yeni tikili,111,3,yoxdur,260000,mülkiyyətçi,859,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,,9,18,486
487,Köhnə tikili,46,2,var,100000,mülkiyyətçi,218,Elmlər Akademiyası m.,,,,,,,,,,4,5,487
488,Yeni tikili,130,3,var,239000,mülkiyyətçi,5588,Cavanşir körpüsü,Nəsimi r.,,,,,,,,,15,19,488
489,Köhnə tikili,54,2,yoxdur,133000,vasitəçi (agent),120,Hüseyn Cavid parkı,Texniki Universiteti,Elmlər Akademiyası m.,Yasamal r.,,,,,,,5,5,489
490,Köhnə tikili,88,3,var,149000,vasitəçi (agent),482,Park Zorge,Nəsimi bazarı,Koala parkı,Nəsimi r.,,,,,,,3,9,490
491,Yeni tikili,157,3,var,245000,vasitəçi (agent),177,Dostluq kinoteatrı,Azərbaycan Dillər Universiteti,Koala parkı,Sirk,Bakı Slavyan Universiteti,Nəsimi r.,,,,,13,17,491
492,Yeni tikili,30,1,var,55500,vasitəçi (agent),1090,20 Yanvar m.,Yasamal r.,,,,,,,,,17,21,492
493,Yeni tikili,184,4,var,450000,vasitəçi (agent),113,Koala parkı,Dostluq kinoteatrı,Nəsimi bazarı,Park Zorge,Nəsimi r.,,,,,,16,19,493
494,Köhnə tikili,87,3,var,185000,vasitəçi (agent),330,Dövlət Statistika Komitəsi,İncəsənət və Mədəniyyət Un.,Nizami m.,Yasamal r.,,,,,,,2,5,494
495,Yeni tikili,136,3,yoxdur,225000,vasitəçi (agent),409,Nizami m.,Zabitlər parkı,Yasamal r.,Yasamal q.,,,,,,,5,12,495
496,Yeni tikili,91,3,var,90000,mülkiyyətçi,168,Abşeron r.,Masazır q.,,,,,,,,,2,10,496
497,Yeni tikili,51,2,yoxdur,65000,vasitəçi (agent),213,20 Yanvar m.,Yasamal r.,Yeni Yasamal q.,,,,,,,,7,24,497
498,Yeni tikili,100,3,var,212000,vasitəçi (agent),133,Zabitlər parkı,Sirk,Azərbaycan Dillər Universiteti,Nəsimi r.,,,,,,,4,15,498
499,Köhnə tikili,45,2,var,68000,vasitəçi (agent),607,Memar Əcəmi m.,Nəsimi r.,3-cü mikrorayon q.,,,,,,,,3,5,499
500,Yeni tikili,170,4,var,135000,vasitəçi (agent),203,Yasamal r.,Yeni Yasamal q.,,,,,,,,,17,17,500
501,Yeni tikili,142,4,yoxdur,145000,vasitəçi (agent),317,İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.,,,,,,,,21,22,501
502,Yeni tikili,81,3,yoxdur,195000,vasitəçi (agent),120,Ağ şəhər,Xətai r.,,,,,,,,,7,7,502
503,Yeni tikili,75,3,yoxdur,155000,vasitəçi (agent),190,İnşaatçılar m.,Yasamal r.,,,,,,,,,14,18,503
504,Yeni tikili,96,2,var,345000,mülkiyyətçi,1458,Sirk,Zabitlər parkı,Azərbaycan Dillər Universiteti,Bakı Slavyan Universiteti,Nəsimi r.,,,,,,7,16,504
505,Köhnə tikili,83,4,var,77000,mülkiyyətçi,1216,Sumqayıt,,,,,,,,,,3,3,505
506,Yeni tikili,165,3,var,319000,mülkiyyətçi,8906,Cavanşir körpüsü,Nəsimi r.,,,,,,,,,7,19,506
507,Yeni tikili,153,4,yoxdur,210000,mülkiyyətçi,176,Nəriman Nərimanov m.,Bakmil m.,Nərimanov r.,,,,,,,,13,19,507
508,Yeni tikili,151,3,var,272000,vasitəçi (agent),642,Koala parkı,Dostluq kinoteatrı,Nəsimi bazarı,Zoopark,Nəsimi r.,,,,,,12,18,508
509,Yeni tikili,98,2,yoxdur,110000,vasitəçi (agent),410,Neftçi bazası,TQDK,Nəsimi r.,,,,,,,,17,18,509
510,Yeni tikili,147,3,var,850000,vasitəçi (agent),281,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,16,19,510
511,Yeni tikili,100,3,var,175000,vasitəçi (agent),309,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,6,12,511
512,Yeni tikili,123,3,yoxdur,150000,vasitəçi (agent),211,Tibb Universiteti,Nəsimi r.,,,,,,,,,14,18,512
513,Yeni tikili,320,6,var,550000,mülkiyyətçi,2964,Neftçi bazası,Nərimanov r.,,,,,,,,,12,13,513
514,Yeni tikili,177.8,4,yoxdur,248920,mülkiyyətçi,20587,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,7,16,514
515,Yeni tikili,210,4,var,350000,vasitəçi (agent),466,Nəsimi r.,,,,,,,,,,15,18,515
516,Yeni tikili,180,4,var,300000,vasitəçi (agent),145,Tibb Universiteti,Nəsimi r.,,,,,,,,,6,16,516
517,Köhnə tikili,60,2,var,65000,mülkiyyətçi,243,Həzi Aslanov m.,Xətai r.,Əhmədli q.,,,,,,,,9,9,517
518,Yeni tikili,102,2,yoxdur,135000,vasitəçi (agent),589,Zərifə Əliyeva adına park,Nəsimi r.,,,,,,,,,12,16,518
519,Yeni tikili,114,3,var,185000,vasitəçi (agent),147,Səbail r.,Bayıl q.,,,,,,,,,2,20,519
520,Yeni tikili,152,4,yoxdur,295000,vasitəçi (agent),122,Yasamal r.,,,,,,,,,,6,18,520
521,Yeni tikili,217,4,var,295000,vasitəçi (agent),247,İdman kompleksi,Yasamal r.,,,,,,,,,8,18,521
522,Yeni tikili,107.5,3,yoxdur,138000,mülkiyyətçi,2328,Qara Qarayev m.,Nizami r.,,,,,,,,,16,17,522
523,Köhnə tikili,30,1,var,59750,mülkiyyətçi,253,Səbail r.,Bayıl q.,,,,,,,,,4,5,523
524,Yeni tikili,110,3,var,300000,vasitəçi (agent),150,Axundov bağı,İqsadiyyat Universiteti,Dövlət İdarəçilik Akademiyası,Sovetski,İçəri Şəhər m.,Nərimanov heykəli,Prezident parkı,Qubernator parkı,M.Ə.Sabir parkı,Səbail r.,13,14,524
525,Yeni tikili,157,4,var,280000,vasitəçi (agent),650,Rəssamlıq Akademiyası,Nərimanov r.,,,,,,,,,15,17,525
526,Yeni tikili,70,2,var,89000,mülkiyyətçi,167,Ukrayna dairəsi,Həzi Aslanov m.,Xətai r.,Əhmədli q.,,,,,,,12,13,526
527,Köhnə tikili,45,1,var,85000,vasitəçi (agent),289,Səməd Vurğun parkı,Port Baku,28 May m.,Səbail r.,,,,,,,5,5,527
528,Yeni tikili,85,2,yoxdur,102000,vasitəçi (agent),143,Yasamal r.,Yeni Yasamal q.,,,,,,,,,13,14,528
529,Yeni tikili,56,2,var,58000,vasitəçi (agent),123,Sumqayıt,,,,,,,,,,7,12,529
530,Yeni tikili,103,3,yoxdur,200000,vasitəçi (agent),304,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,,5,15,530
531,Köhnə tikili,155,5,var,390000,mülkiyyətçi,937,Pedaqoji Universiteti,Malokan bağı,Sahil bağı,Milli Konservatoriya,Nizami kinoteatrı,Bakı Musiqi Akademiyası,Neft Akademiyası,Sahil m.,28 May m.,,2,5,531
532,Köhnə tikili,70,3,var,130000,mülkiyyətçi,214,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,,2,9,532
533,Yeni tikili,128,3,var,330000,vasitəçi (agent),144,Axundov bağı,İqsadiyyat Universiteti,Dövlət İdarəçilik Akademiyası,Sovetski,İçəri Şəhər m.,Nərimanov heykəli,Prezident parkı,Qubernator parkı,M.Ə.Sabir parkı,Səbail r.,12,14,533
534,Yeni tikili,120,3,yoxdur,220000,vasitəçi (agent),1848,Rəssamlıq Akademiyası,Nərimanov r.,,,,,,,,,12,16,534
535,Köhnə tikili,85,3,var,150000,vasitəçi (agent),328,Elmlər Akademiyası m.,Hüseyn Cavid parkı,Yasamal r.,,,,,,,,5,5,535
536,Köhnə tikili,54,2,var,133000,vasitəçi (agent),152,Hüseyn Cavid parkı,Texniki Universiteti,Elmlər Akademiyası m.,Yasamal r.,,,,,,,5,5,536
537,Yeni tikili,63,2,yoxdur,88000,mülkiyyətçi,138,Əhmədli m.,Ukrayna dairəsi,Xətai r.,Əhmədli q.,,,,,,,16,17,537
538,Yeni tikili,187,4,var,280000,mülkiyyətçi,180,Gənclik m.,Respublika stadionu,Nərimanov r.,,,,,,,,15,17,538
539,Yeni tikili,100,2,var,168000,vasitəçi (agent),95,Ayna Sultanova heykəli,Nərimanov r.,,,,,,,,,7,7,539
540,Yeni tikili,60,2,var,67000,vasitəçi (agent),182,Xətai r.,Əhmədli q.,,,,,,,,,1,16,540
541,Köhnə tikili,55,2,var,78000,vasitəçi (agent),410,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,2,5,541
542,Yeni tikili,87,2,yoxdur,121000,vasitəçi (agent),129,Binəqədi r.,7-ci mikrorayon q.,,,,,,,,,17,19,542
543,Yeni tikili,101,3,var,160000,mülkiyyətçi,451,Park Zorge,Rusiya səfirliyi,Tibb Universiteti,Nəsimi r.,,,,,,,5,15,543
544,Yeni tikili,89.1,2,yoxdur,68000,vasitəçi (agent),190,Yasamal r.,Yeni Yasamal q.,,,,,,,,,14,18,544
545,Yeni tikili,56,1,yoxdur,60000,vasitəçi (agent),221,Yasamal r.,,,,,,,,,,17,18,545
546,Yeni tikili,100,2,var,150000,mülkiyyətçi,228,Nəriman Nərimanov parkı,Rəssamlıq Akademiyası,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,4,18,546
547,Yeni tikili,205,5,yoxdur,350000,vasitəçi (agent),101,Yasamal r.,,,,,,,,,,9,18,547
548,Yeni tikili,48,1,yoxdur,65000,vasitəçi (agent),271,Yasamal r.,Yeni Yasamal q.,,,,,,,,,10,20,548
549,Yeni tikili,93,3,var,155000,vasitəçi (agent),470,20 Yanvar m.,Yasamal r.,Yasamal q.,,,,,,,,12,16,549
550,Yeni tikili,64,1,yoxdur,75000,mülkiyyətçi,1640,Yasamal r.,,,,,,,,,,3,16,550
551,Yeni tikili,115,3,yoxdur,215000,mülkiyyətçi,4818,Yasamal bazarı,İnşaatçılar m.,Yasamal r.,,,,,,,,6,18,551
552,Yeni tikili,105,3,var,240000,vasitəçi (agent),94,Cavanşir körpüsü,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,15,19,552
553,Yeni tikili,86,2,yoxdur,88000,mülkiyyətçi,182,Yasamal r.,Yeni Yasamal q.,,,,,,,,,12,17,553
554,Yeni tikili,177,4,var,280000,vasitəçi (agent),200,Neftçi bazası,Nəsimi r.,,,,,,,,,10,16,554
555,Yeni tikili,68,3,var,75000,mülkiyyətçi,159,Abşeron r.,,,,,,,,,,9,16,555
556,Yeni tikili,154,4,var,320000,mülkiyyətçi,138,Bakı Slavyan Universiteti,Azərbaycan Dillər Universiteti,28 May m.,Nəsimi r.,,,,,,,9,14,556
557,Köhnə tikili,72,3,var,132000,vasitəçi (agent),101,Memarlıq və İnşaat Universiteti,Bakı Dövlət Universiteti,Texniki Universiteti,Yasamal r.,,,,,,,4,5,557
558,Köhnə tikili,78,3,var,130000,vasitəçi (agent),182,Elmlər Akademiyası m.,Hüseyn Cavid parkı,Texniki Universiteti,Yasamal r.,,,,,,,3,5,558
559,Köhnə tikili,64,3,var,126000,mülkiyyətçi,1295,Səbail r.,Bayıl q.,,,,,,,,,2,2,559
560,Yeni tikili,140,4,var,295000,mülkiyyətçi,6506,Binəqədi r.,,,,,,,,,,3,17,560
561,Yeni tikili,133,3,var,195000,vasitəçi (agent),2696,20 Yanvar m.,Yasamal r.,Yasamal q.,,,,,,,,4,10,561
562,Yeni tikili,220,3,yoxdur,230000,vasitəçi (agent),326,Nizami m.,Beşmərtəbə,Nəsimi r.,,,,,,,,22,22,562
563,Köhnə tikili,62,2,var,72000,vasitəçi (agent),228,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,9,9,563
564,Köhnə tikili,40,2,var,43000,mülkiyyətçi,168,Sabunçu r.,Sabunçu q.,,,,,,,,,2,2,564
565,Yeni tikili,174,3,var,280000,vasitəçi (agent),223,Elmlər Akademiyası m.,İncəsənət və Mədəniyyət Un.,Yasamal r.,,,,,,,,11,17,565
566,Yeni tikili,105,3,yoxdur,145000,vasitəçi (agent),267,Nərimanov r.,,,,,,,,,,9,16,566
567,Yeni tikili,88,2,var,180000,vasitəçi (agent),304,Şah İsmayıl Xətai m.,Cavanşir körpüsü,Xətai r.,,,,,,,,12,20,567
568,Yeni tikili,115,3,yoxdur,220000,mülkiyyətçi,15946,Yasamal bazarı,Yasamal r.,,,,,,,,,6,16,568
569,Yeni tikili,155,4,var,340000,mülkiyyətçi,5341,Nizami m.,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,12,15,569
570,Yeni tikili,125,3,yoxdur,210000,vasitəçi (agent),128,28 May m.,Bakı Slavyan Universiteti,Neft Akademiyası,Nərimanov r.,,,,,,,3,13,570
571,Köhnə tikili,91,3,var,115000,mülkiyyətçi,359,Neftçi bazası,Nərimanov r.,,,,,,,,,8,9,571
572,Yeni tikili,97,2,yoxdur,110000,vasitəçi (agent),1986,Koala parkı,Zoopark,Dostluq kinoteatrı,Nəsimi bazarı,Nəsimi r.,,,,,,16,17,572
573,Yeni tikili,160,4,var,450000,vasitəçi (agent),119,28 May m.,Neft Akademiyası,Səməd Vurğun parkı,Bakı Musiqi Akademiyası,Nəsimi r.,,,,,,5,22,573
574,Yeni tikili,176,4,var,287000,vasitəçi (agent),3091,Dövlət Statistika Komitəsi,M.Hüseynzadə parkı,Nizami m.,Yasamal r.,,,,,,,9,18,574
575,Yeni tikili,70,2,var,91000,mülkiyyətçi,4079,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,5,16,575
576,Yeni tikili,96,2,yoxdur,150000,vasitəçi (agent),302,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,17,21,576
577,Yeni tikili,110,3,yoxdur,250000,mülkiyyətçi,3120,Elmlər Akademiyası m.,Yasamal r.,Yasamal q.,,,,,,,,6,17,577
578,Köhnə tikili,60,2,var,107000,vasitəçi (agent),197,Nəriman Nərimanov parkı,Nəriman Nərimanov m.,Rəssamlıq Akademiyası,Nərimanov r.,,,,,,,4,5,578
579,Köhnə tikili,65,3,var,118500,vasitəçi (agent),307,Səbail r.,,,,,,,,,,1,5,579
580,Köhnə tikili,100,4,var,145000,vasitəçi (agent),155,Yasamal bazarı,İnşaatçılar m.,Yasamal r.,,,,,,,,3,9,580
581,Yeni tikili,71,2,var,115000,mülkiyyətçi,765,Qara Qarayev m.,Nizami r.,8-ci kilometr q.,,,,,,,,14,18,581
582,Yeni tikili,56,2,yoxdur,46500,vasitəçi (agent),153,Abşeron r.,Masazır q.,,,,,,,,,5,6,582
583,Yeni tikili,165,4,yoxdur,310000,vasitəçi (agent),1016,Yasamal r.,,,,,,,,,,12,18,583
584,Yeni tikili,66,1,var,77800,vasitəçi (agent),355,Səbail r.,Badamdar q.,,,,,,,,,2,15,584
585,Yeni tikili,94,2,var,190000,vasitəçi (agent),549,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,17,18,585
586,Yeni tikili,90,2,var,125000,vasitəçi (agent),387,İdman kompleksi,Nəsimi r.,,,,,,,,,5,15,586
587,Yeni tikili,140,4,var,275000,vasitəçi (agent),1642,Səbail r.,,,,,,,,,,3,5,587
588,Yeni tikili,87,2,var,180000,vasitəçi (agent),101,Şah İsmayıl Xətai m.,Cavanşir körpüsü,Xətai r.,,,,,,,,15,20,588
589,Köhnə tikili,55,2,var,73000,vasitəçi (agent),2615,20 Yanvar m.,Memar Əcəmi m.,Nəsimi r.,,,,,,,,1,5,589
590,Köhnə tikili,60,2,var,80000,vasitəçi (agent),1304,Qara Qarayev m.,Nizami r.,,,,,,,,,7,9,590
591,Yeni tikili,98,3,yoxdur,188000,vasitəçi (agent),147,Yasamal bazarı,İnşaatçılar m.,Yasamal r.,,,,,,,,7,20,591
592,Yeni tikili,214,4,var,320000,vasitəçi (agent),1202,Dövlət Statistika Komitəsi,İzmir parkı,M.Hüseynzadə parkı,Nizami m.,Yasamal r.,,,,,,6,20,592
593,Yeni tikili,82,3,var,117000,vasitəçi (agent),438,Səbail r.,Badamdar q.,,,,,,,,,15,15,593
594,Köhnə tikili,70,2,var,79000,vasitəçi (agent),155,Neapol dairəsi,Əhmədli m.,Xətai r.,Əhmədli q.,,,,,,,1,9,594
595,Köhnə tikili,90,3,var,95000,vasitəçi (agent),405,Həzi Aslanov m.,Xətai r.,Əhmədli q.,,,,,,,,6,9,595
596,Yeni tikili,106,2,var,255000,vasitəçi (agent),147,Axundov bağı,İqsadiyyat Universiteti,Dövlət İdarəçilik Akademiyası,Sovetski,İçəri Şəhər m.,Nərimanov heykəli,Prezident parkı,Qubernator parkı,M.Ə.Sabir parkı,Səbail r.,12,14,596
597,Yeni tikili,70,1,yoxdur,84000,vasitəçi (agent),253,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,4,16,597
598,Yeni tikili,130,3,yoxdur,120000,vasitəçi (agent),1856,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,12,18,598
599,Yeni tikili,73,2,var,66000,vasitəçi (agent),627,Sabunçu r.,Bakıxanov q.,,,,,,,,,3,12,599
600,Yeni tikili,72,3,var,85000,vasitəçi (agent),1485,Yasamal r.,,,,,,,,,,10,20,600
601,Köhnə tikili,42,2,var,49000,vasitəçi (agent),377,Xətai r.,,,,,,,,,,8,9,601
602,Yeni tikili,98,3,var,215000,vasitəçi (agent),172,Zabitlər parkı,Rusiya səfirliyi,Sevil Qazıyeva parkı,Sirk,Nəsimi r.,,,,,,4,17,602
603,Yeni tikili,95,2,var,70800,mülkiyyətçi,147,Xırdalan,,,,,,,,,,11,15,603
604,Yeni tikili,74,2,var,100000,vasitəçi (agent),370,Zərifə Əliyeva adına park,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,9,16,604
605,Köhnə tikili,33,2,var,75000,vasitəçi (agent),195,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,4,5,605
606,Yeni tikili,165,4,var,350000,vasitəçi (agent),127,Zabitlər parkı,Sirk,Rusiya səfirliyi,Nəsimi r.,,,,,,,6,15,606
607,Yeni tikili,110,3,yoxdur,105000,vasitəçi (agent),5543,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,17,17,607
608,Yeni tikili,60,2,yoxdur,92000,mülkiyyətçi,418,Qara Qarayev m.,Nizami r.,8-ci kilometr q.,,,,,,,,8,18,608
609,Yeni tikili,62,2,yoxdur,37000,vasitəçi (agent),239,Xırdalan,,,,,,,,,,7,16,609
610,Yeni tikili,178,4,yoxdur,220000,vasitəçi (agent),137,Yasamal r.,,,,,,,,,,14,27,610
611,Yeni tikili,93,2,yoxdur,125000,vasitəçi (agent),104,Binəqədi r.,7-ci mikrorayon q.,,,,,,,,,3,18,611
612,Yeni tikili,70,2,yoxdur,99000,mülkiyyətçi,221,Bakı Asiya Universiteti,Nəsimi r.,,,,,,,,,10,18,612
613,Yeni tikili,91,2,yoxdur,50000,mülkiyyətçi,424,Yasamal r.,Yeni Yasamal q.,,,,,,,,,7,16,613
614,Yeni tikili,145,3,yoxdur,200000,vasitəçi (agent),170,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,10,16,614
615,Yeni tikili,150,3,yoxdur,205000,vasitəçi (agent),129,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,11,16,615
616,Yeni tikili,186,4,var,290000,mülkiyyətçi,647,Şərq bazarı,Nərimanov r.,,,,,,,,,2,17,616
617,Köhnə tikili,62,3,var,98000,vasitəçi (agent),241,İnşaatçılar m.,Yasamal r.,,,,,,,,,3,9,617
618,Köhnə tikili,100,4,var,150000,vasitəçi (agent),1364,Montin bazarı,Nərimanov r.,,,,,,,,,9,10,618
619,Köhnə tikili,70,3,var,119000,mülkiyyətçi,4470,İncəsənət və Mədəniyyət Un.,Dövlət Statistika Komitəsi,Nizami m.,Yasamal r.,,,,,,,15,17,619
620,Yeni tikili,99.4,2,yoxdur,150000,mülkiyyətçi,114,Nəsimi bazarı,Koala parkı,Dostluq kinoteatrı,Nəsimi r.,,,,,,,11,12,620
621,Yeni tikili,50,2,yoxdur,49000,vasitəçi (agent),252,Bakı Asiya Universiteti,Nəsimi r.,,,,,,,,,19,19,621
622,Yeni tikili,70,2,yoxdur,110000,vasitəçi (agent),262,Nizami r.,8-ci kilometr q.,,,,,,,,,6,18,622
623,Köhnə tikili,100,4,var,175000,vasitəçi (agent),116,Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,4,5,623
624,Yeni tikili,85,3,yoxdur,86000,vasitəçi (agent),177,Yasamal r.,Yeni Yasamal q.,,,,,,,,,14,14,624
625,Yeni tikili,155,3,var,286000,vasitəçi (agent),841,Zərifə Əliyeva adına park,Binəqədi r.,,,,,,,,,13,14,625
626,Köhnə tikili,33,1,var,48000,vasitəçi (agent),257,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,1,5,626
627,Yeni tikili,52,1,yoxdur,75500,mülkiyyətçi,1982,İnşaatçılar m.,Yasamal r.,,,,,,,,,9,19,627
628,Köhnə tikili,85,3,yoxdur,137000,vasitəçi (agent),300,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,1,7,628
629,Köhnə tikili,58,2,var,138000,vasitəçi (agent),400,Texniki Universiteti,Hüseyn Cavid parkı,Memarlıq və İnşaat Universiteti,Elmlər Akademiyası m.,Yasamal r.,,,,,,5,5,629
630,Yeni tikili,55,2,yoxdur,66500,vasitəçi (agent),191,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,,17,17,630
