Qiymet,sign,Sheher,Marka,Model,Buraxilish_ili,Ban_novu,Reng,Muherrik_hecm,Muherrik_guc,Yanacaq_novu,Yurush,Suret_qutusu,Oturucu,Yeni,barter_mumkundurmu
8800,AZN,Bakı,Mercedes,C 220,1996,Sedan,Ağ,2.2,146,Benzin,350000,Avtomat,Arxa,Xeyr,Bəli
21900,AZN,Bakı,Hyundai,i30,2013,Hetçbek / Liftbek,Gümüşü,1.6,132,Benzin,132000,Avtomat,Ön,Xeyr,Xeyr
20500,AZN,Bakı,Hyundai,Elantra,2012,Sedan,Gümüşü,1.8,150,Benzin,131000,Avtomat,Ön,Xeyr,Xeyr
16800,AZN,Bakı,Hyundai,Tucson,2006,Offroader / SUV,Qara,2,142,Benzin,165500,Avtomat,Tam,Xeyr,Xeyr
26900,AZN,Bakı,Kia,Optima,2015,Sedan,Qara,2.4,181,Benzin,28000,Avtomat,Ön,Xeyr,Xeyr
39000,$,Bakı,BMW,X5 M,2011,Offroader / SUV,Göy,4.4,555,Benzin,130000,Avtomat,Tam,Xeyr,Xeyr
7700,AZN,Bakı,Opel,Astra,1999,Universal,Göy,1.6,101,Benzin,411500,Mexaniki,Ön,Xeyr,Xeyr
3300,AZN,Gəncə,GAZ,3110,2002,Sedan,Gümüşü,2.4,131,Benzin,405000,Mexaniki,Arxa,Xeyr,Xeyr
3200,AZN,Bakı,Opel,Omega,1994,Sedan,Boz,2,136,Benzin,350000,Avtomat,Arxa,Xeyr,Xeyr
11000,AZN,Bakı,LADA (VAZ),Niva,2015,Offroader / SUV,Ağ,1.7,80,Benzin,59000,Mexaniki,Tam,Xeyr,Xeyr
19500,AZN,Bakı,Hyundai,Elantra,2011,Sedan,Qara,1.8,150,Benzin,83000,Avtomat,Ön,Xeyr,Xeyr
15500,AZN,Sumqayıt,Mercedes,E 350,2005,Sedan,Qara,3.5,272,Benzin,217500,Avtomat,Arxa,Xeyr,Xeyr
11600,AZN,Bakı,Chery,Tiggo,2013,Offroader / SUV,Ağ,1.8,160,Benzin,101220,Avtomat,Ön,Xeyr,Xeyr
4700,AZN,Bakı,LADA (VAZ),2107,2003,Sedan,Ağ,1.6,75,Benzin,160000,Mexaniki,Arxa,Xeyr,Xeyr
23000,AZN,Qax,Ford,Transit,2010,Furqon,Ağ,2.4,240,Dizel,250000,Mexaniki,Arxa,Xeyr,Bəli
7500,AZN,Sumqayıt,LADA (VAZ),2115,2011,Sedan,Yaş Asfalt,1.6,80,Benzin,160000,Mexaniki,Ön,Xeyr,Xeyr
2900,AZN,Ağsu,LADA (VAZ),2107,1996,Sedan,Bej,1.5,65,Benzin,98000,Mexaniki,Arxa,Xeyr,Xeyr
8900,AZN,Bakı,BMW,318,1998,Sedan,Ağ,1.9,118,Benzin,300000,Mexaniki,Arxa,Xeyr,Xeyr
19500,AZN,Xaçmaz,LADA (VAZ),Niva,2018,Offroader / SUV,Göy,1.7,80,Benzin,1700,Mexaniki,Tam,Xeyr,Xeyr
24600,AZN,Sumqayıt,Kia,Optima,2012,Sedan,Ağ,2.4,180,Benzin,107222,Avtomat,Ön,Xeyr,Xeyr
25000,$,Bakı,Toyota,Prado,2007,Offroader / SUV,Boz,4,248,Benzin,210000,Avtomat,Arxa,Xeyr,Xeyr
5800,AZN,Bakı,Mercedes,190,1991,Sedan,Bənövşəyi,1.8,109,Benzin,350000,Avtomat,Arxa,Xeyr,Xeyr
4300,AZN,Bakı,LADA (VAZ),2107,2003,Sedan,Ağ,1.5,65,Benzin,158000,Mexaniki,Arxa,Xeyr,Xeyr
20000,AZN,Bakı,Ford,Transit,2008,Furqon,Ağ,2.4,140,Dizel,274890,Mexaniki,Arxa,Xeyr,Xeyr
2250,AZN,Bakı,LADA (VAZ),21011,1980,Sedan,Göy,1.5,65,Benzin,150000,Mexaniki,Arxa,Xeyr,Xeyr
9600,AZN,Bakı,Mitsubishi,Pajero,1996,Offroader / SUV,Ağ,2.8,125,Dizel,228000,Avtomat,Tam,Xeyr,Xeyr
29900,$,Bakı,Lexus,ES 250,2013,Sedan,Qara,2.5,184,Benzin,77000,Avtomat,Ön,Xeyr,Xeyr
8300,AZN,Bakı,Opel,Astra,1999,Sedan,Göy,1.6,101,Benzin,316235,Mexaniki,Ön,Xeyr,Xeyr
26000,AZN,Bakı,DAF,75CF,2002,Dartqı,Göy,12,360,Dizel,860000,Mexaniki,Arxa,Xeyr,Xeyr
20500,AZN,Bakı,Hyundai,Elantra,2013,Sedan,Gümüşü,1.8,150,Benzin,49000,Avtomat,Ön,Xeyr,Xeyr
112000,$,Bakı,BMW,750,2016,Sedan,Qara,4.4,447,Benzin,53000,Avtomat,Arxa,Xeyr,Xeyr
108500,$,Bakı,BMW,X5 M,2016,Offroader / SUV,Qara,4.4,575,Benzin,41000,Avtomat,Tam,Xeyr,Bəli
18000,AZN,Bakı,LADA (VAZ),Priora,2018,Sedan,Qəhvəyi,1.6,106,Benzin,0,Mexaniki,Ön,Bəli,Xeyr
39600,$,Bakı,Jeep,Grand Cherokee,2014,Offroader / SUV,Ağ,3,241,Dizel,55000,Avtomat,Tam,Xeyr,Xeyr
69900,$,Bakı,Mercedes,E 300,2017,Sedan,Qara,2,250,Benzin,27000,Avtomat,Arxa,Xeyr,Xeyr
7300,AZN,Bakı,Opel,Vectra,1999,Sedan,Ağ,1.8,125,Benzin,290000,Avtomat,Ön,Xeyr,Xeyr
63500,$,Bakı,Audi,Q7,2015,Offroader / SUV,Ağ,3,333,Benzin,38400,Avtomat,Tam,Xeyr,Xeyr
19500,AZN,Bakı,BMW,X5,2005,Offroader / SUV,Qara,3,231,Benzin,280000,Avtomat,Tam,Xeyr,Xeyr
17000,AZN,Şəki,Ford,Transit,1998,Furqon,Ağ,2.5,140,Dizel,390500,Mexaniki,Arxa,Xeyr,Xeyr
22200,AZN,Bakı,Hyundai,Elantra,2014,Sedan,Gümüşü,1.8,150,Benzin,102234,Avtomat,Ön,Xeyr,Xeyr
52000,$,Bakı,BMW,650,2012,Sedan,Göy,4.4,500,Benzin,59800,Avtomat,Arxa,Xeyr,Xeyr
42700,$,Bakı,Toyota,Camry,2018,Sedan,Qara,2.5,181,Benzin,0,Avtomat,Ön,Bəli,Xeyr
4200,AZN,Bakı,LADA (VAZ),2107,2004,Sedan,Ağ,1.6,75,Benzin,148905,Mexaniki,Arxa,Xeyr,Xeyr
19900,$,Sumqayıt,Volkswagen,Amarok,2012,Pikap,Ağ,2,180,Dizel,197900,Avtomat,Tam,Xeyr,Xeyr
11500,AZN,Bakı,BMW,328,2002,Sedan,Mavi,2.8,193,Benzin,356423,Avtomat,Tam,Xeyr,Bəli
36500,$,Bakı,Mercedes,Viano,2013,Minivan,Ağ,3,228,Dizel,73000,Avtomat,Arxa,Xeyr,Bəli
72000,$,Bakı,BMW,540,2018,Sedan,Boz,3,340,Benzin,21000,Avtomat,Tam,Xeyr,Xeyr
4900,AZN,Bakı,Mercedes,400 SEL,1991,Sedan,Yaş Asfalt,4.2,286,Benzin,250000,Avtomat,Arxa,Xeyr,Bəli
14700,AZN,Sumqayıt,Mercedes,E 220,2003,Sedan,Qara,2.2,200,Dizel,325000,Avtomat,Arxa,Xeyr,Xeyr
26500,$,Sumqayıt,BMW,428,2015,Kupe,Qara,2,258,Benzin,52000,Avtomat,Arxa,Xeyr,Bəli
6400,AZN,Bakı,Mercedes,190,1992,Sedan,Qırmızı,1.8,122,Benzin,286495,Avtomat,Arxa,Xeyr,Xeyr
6200,AZN,Şamaxı,LADA (VAZ),2107,2008,Sedan,Ağ,1.6,75,Benzin,145000,Mexaniki,Arxa,Xeyr,Xeyr
42500,$,Bakı,Lexus,RX 350,2015,Offroader / SUV,Ağ,3.5,277,Benzin,57000,Avtomat,Tam,Xeyr,Xeyr
28000,AZN,Bakı,Nissan,X-Trail,2012,Offroader / SUV,Ağ,2.5,175,Benzin,110000,Avtomat,Tam,Xeyr,Xeyr
25500,AZN,Bakı,Kia,Optima,2013,Sedan,Ağ,2,170,Benzin,133200,Avtomat,Ön,Xeyr,Xeyr
20500,AZN,Bakı,BMW,X5,2005,Offroader / SUV,Ağ,3,231,Benzin,153000,Avtomat,Tam,Xeyr,Bəli
12000,AZN,Bakı,Mercedes,C 280,1999,Sedan,Gümüşü,2.8,193,Benzin,136700,Avtomat,Arxa,Xeyr,Xeyr
67000,AZN,Sumqayıt,Mercedes,E 220,1993,Sedan,Gümüşü,2.2,150,Benzin,220000,Avtomat,Ön,Xeyr,Xeyr
16800,AZN,Bakı,Mercedes,E 350,2005,Sedan,Gümüşü,3.5,275,Benzin,252000,Avtomat,Tam,Xeyr,Xeyr
9600,AZN,Cəlilabad,LADA (VAZ),2115,2012,Sedan,Qara,1.6,80,Benzin,60000,Mexaniki,Ön,Xeyr,Xeyr
22700,$,Bakı,BMW,528,2012,Sedan,Qara,2,245,Benzin,140000,Avtomat,Arxa,Xeyr,Xeyr
14800,AZN,Bakı,Hyundai,Sonata,2006,Sedan,Qara,2.4,170,Benzin,199000,Mexaniki,Ön,Xeyr,Xeyr
