Qiymet,sign,Sheher,Marka,Model,Buraxilish_ili,Ban_novu,Reng,Muherrik_hecm,Muherrik_guc,Yanacaq_novu,Yurush,Suret_qutusu,Oturucu,Yeni,barter_mumkundurmu
11500,AZN,Sumqayıt,LADA (VAZ),Niva,2015,Offroader / SUV,Göy,1.7,80,Benzin,68000,Mexaniki,Tam,Xeyr,Xeyr
12800,AZN,Bakı,Nissan,Micra,2012,Hetçbek / Liftbek,Narıncı,1.2,95,Benzin,57500,Avtomat,Ön,Xeyr,Xeyr
5100,AZN,Gəncə,LADA (VAZ),2107,2005,Sedan,Ağ,1.5,65,Benzin,436999,Mexaniki,Arxa,Xeyr,Xeyr
32900,$,Bakı,Land Rover,Range Rover,2010,Offroader / SUV,Qara,5,510,Benzin,82000,Avtomat,Tam,Xeyr,Xeyr
116000,$,Bakı,Mercedes,S 63 AMG,2014,Sedan,Qara,6.3,585,Benzin,95000,Avtomat,Tam,Xeyr,Xeyr
82000,$,Bakı,Mercedes,E 300,2018,Sedan,Yaş Asfalt,3,256,Benzin,0,Avtomat,Arxa,Bəli,Bəli
45500,$,Bakı,Porsche,Cayenne Turbo,2012,Offroader / SUV,Ağ,4.8,500,Benzin,86000,Avtomat,Tam,Xeyr,Xeyr
26500,$,Bakı,Mercedes,200,1975,Sedan,Qəhvəyi,2,120,Benzin,72000,Avtomat,Arxa,Xeyr,Xeyr
17000,AZN,Bakı,Honda,Insight,2012,Sedan,Qara,1.3,98,Hibrid,160000,Avtomat,Ön,Xeyr,Xeyr
5500,AZN,Bakı,LADA (VAZ),Niva,1995,Offroader / SUV,Ağ,1.7,80,Benzin,100000,Mexaniki,Arxa,Xeyr,Xeyr
18300,AZN,Bakı,LADA (VAZ),Priora,2017,Sedan,Qara,1.6,106,Benzin,53700,Mexaniki,Ön,Xeyr,Xeyr
28500,$,Bakı,BMW,750,2011,Sedan,Qara,4.4,407,Benzin,139000,Avtomat,Arxa,Xeyr,Xeyr
8500,AZN,Bakı,LADA (VAZ),2101,1974,Sedan,Göy,1.3,65,Benzin,48000,Mexaniki,Arxa,Xeyr,Xeyr
23300,AZN,Bakı,Hyundai,Sonata,2013,Sedan,Boz,2,274,Benzin,66000,Avtomat,Ön,Xeyr,Xeyr
51300,$,Xırdalan,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.5,272,Dizel,62043,Avtomat,Tam,Xeyr,Xeyr
6600,AZN,Bakı,LADA (VAZ),2115,2007,Sedan,Qara,1.5,75,Benzin,157321,Mexaniki,Ön,Xeyr,Xeyr
5800,AZN,Bakı,Hyundai,Getz,2008,Hetçbek / Liftbek,Ağ,1.4,97,Benzin,67000,Avtomat,Ön,Xeyr,Xeyr
18250,AZN,Sumqayıt,Hyundai,Elantra,2011,Sedan,Boz,1.8,150,Benzin,122000,Avtomat,Ön,Xeyr,Xeyr
24500,AZN,Bakı,Mercedes,S 600,1997,Sedan,Qara,3.2,224,Benzin,181000,Avtomat,Arxa,Xeyr,Xeyr
9200,AZN,Sumqayıt,Volkswagen,Passat,2006,Sedan,Qara,2,211,Benzin,220000,Avtomat,Ön,Xeyr,Xeyr
16000,AZN,Bakı,Volkswagen,Passat CC,2009,Kupe,Ağ,1.8,160,Benzin,210000,Avtomat,Ön,Xeyr,Bəli
11000,AZN,Bakı,BMW,528,2000,Sedan,Göy,2.8,193,Benzin,223000,Avtomat,Arxa,Xeyr,Xeyr
23800,$,Bakı,BMW,X6,2008,Offroader / SUV,Qara,4.4,407,Benzin,110000,Avtomat,Tam,Xeyr,Bəli
4300,AZN,Bakı,Daewoo,Espero,1997,Sedan,Göy,2,105,Benzin,366162,Mexaniki,Ön,Xeyr,Xeyr
6300,AZN,Bakı,LADA (VAZ),2107,2009,Sedan,Qəhvəyi,1.6,75,Benzin,150000,Mexaniki,Arxa,Xeyr,Bəli
24000,AZN,Bakı,Changan,Alsvin V7,2018,Sedan,Qara,1.5,126,Benzin,18000,Avtomat,Ön,Xeyr,Xeyr
9000,AZN,Bakı,GAZ,3302-744,2009,Yük maşını,Ağ,2.3,131,Benzin,154000,Mexaniki,Arxa,Xeyr,Xeyr
3800,AZN,Lerik,LADA (VAZ),Niva,1987,Offroader / SUV,Yaşıl,1.7,80,Benzin,202561,Mexaniki,Tam,Xeyr,Xeyr
6200,AZN,Bakı,LADA (VAZ),2107,2010,Sedan,Ağ,1.6,75,Benzin,65000,Mexaniki,Arxa,Xeyr,Xeyr
9800,AZN,Bakı,LADA (VAZ),Niva,2013,Offroader / SUV,Göy,1.7,80,Benzin,90000,Mexaniki,Tam,Xeyr,Bəli
12400,AZN,Masallı,Mercedes,C 220,2001,Sedan,Boz,2.2,136,Dizel,316880,Avtomat,Arxa,Xeyr,Xeyr
8300,AZN,Sumqayıt,BMW,523,1998,Sedan,Gümüşü,2.5,170,Benzin,276324,Avtomat,Arxa,Xeyr,Xeyr
6700,AZN,Bakı,Tofas,Sahin,2006,Sedan,Gümüşü,1.6,86,Benzin,88562,Mexaniki,Arxa,Xeyr,Xeyr
42500,AZN,Bakı,Fiat,Ducato,2016,Furqon,Ağ,2.4,140,Dizel,26000,Mexaniki,Arxa,Xeyr,Xeyr
42700,$,Bakı,Toyota,Camry,2018,Sedan,Qara,2.5,181,Benzin,0,Avtomat,Ön,Bəli,Xeyr
1600,AZN,Salyan,LADA (VAZ),21013,1985,Sedan,Bej,1.3,65,Benzin,234211,Mexaniki,Arxa,Xeyr,Xeyr
128500,$,Bakı,Mercedes,G 63 AMG,2015,Offroader / SUV,Ağ,5.5,571,Benzin,29500,Avtomat,Tam,Xeyr,Bəli
7800,AZN,Bakı,Opel,Astra,1999,Universal,Yaşıl,2,122,Qaz,250000,Mexaniki,Ön,Xeyr,Xeyr
13800,AZN,Bakı,Ford,Escape,2008,Offroader / SUV,Yaş Asfalt,3,180,Benzin,348000,Avtomat,Tam,Xeyr,Xeyr
20000,AZN,Bakı,LADA (VAZ),Vesta,2018,Sedan,Gümüşü,1.8,122,Benzin,0,Mexaniki,Ön,Bəli,Xeyr
100000,$,Bakı,Porsche,Cayenne Turbo,2015,Offroader / SUV,Qara,4.8,520,Benzin,35000,Avtomat,Tam,Xeyr,Xeyr
225500,$,Bakı,Mercedes-Maybach,S 500,2018,Sedan,Qara,4.7,475,Benzin,0,Avtomat,Arxa,Bəli,Bəli
32500,$,Bakı,Land Rover,RR Sport,2010,Offroader / SUV,Qara,5,510,Benzin,105000,Avtomat,Tam,Xeyr,Bəli
13000,$,Bakı,Ford,Transit,2007,Furqon,Tünd qırmızı,2.5,140,Dizel,177450,Mexaniki,Arxa,Xeyr,Xeyr
6300,AZN,Bakı,LADA (VAZ),2107,2010,Sedan,Ağ,1.6,75,Benzin,167000,Mexaniki,Arxa,Xeyr,Xeyr
12800,$,Bakı,Volkswagen,Passat,2013,Sedan,Gümüşü,1.8,185,Benzin,70000,Avtomat,Ön,Xeyr,Xeyr
41500,$,Bakı,Jeep,Grand Cherokee,2014,Offroader / SUV,Qara,3,250,Dizel,71000,Avtomat,Tam,Xeyr,Xeyr
20000,$,Bakı,Porsche,Cayenne Turbo,2007,Offroader / SUV,Ağ,4.8,500,Benzin,114000,Avtomat,Tam,Xeyr,Xeyr
13950,AZN,Bakı,Volkswagen,Passat,2007,Universal,Mavi,2,140,Dizel,337000,Mexaniki,Ön,Xeyr,Xeyr
22500,$,Bakı,Audi,A6,2011,Sedan,Ağ,2.8,204,Benzin,143000,Avtomat,Ön,Xeyr,Xeyr
19900,AZN,Bakı,Fiat,500,2015,Hetçbek / Liftbek,Göy,1.4,100,Benzin,14700,Avtomat,Ön,Xeyr,Bəli
9000,AZN,Bakı,Changan,Benni,2014,Hetçbek / Liftbek,Ağ,1,70,Benzin,101000,Avtomat,Ön,Xeyr,Bəli
4500,AZN,Bakı,Opel,Vectra,1994,Sedan,Boz,1.8,120,Benzin,195236,Avtomat,Ön,Xeyr,Xeyr
10700,AZN,Bakı,Opel,Astra,2006,Universal,Gümüşü,1.4,90,Benzin,200000,Mexaniki,Ön,Xeyr,Xeyr
30500,$,Bakı,Land Rover,Range Rover,2009,Offroader / SUV,Ağ,4.2,396,Benzin,148000,Avtomat,Tam,Xeyr,Xeyr
6950,AZN,Bakı,Opel,Astra,2000,Universal,Yaşıl,1.6,125,Benzin,410000,Mexaniki,Ön,Xeyr,Xeyr
28900,$,Bakı,Jeep,Grand Cherokee,2013,Offroader / SUV,Ağ,3.6,286,Benzin,138000,Avtomat,Tam,Xeyr,Xeyr
5300,AZN,Bakı,Toyota,Camry,1997,Sedan,Qızılı,2.2,132,Benzin,250000,Avtomat,Ön,Xeyr,Xeyr
21600,$,Bakı,Mercedes,E 220,2009,Sedan,Gümüşü,2.2,170,Dizel,162000,Avtomat,Arxa,Xeyr,Xeyr
43400,$,Bakı,Toyota,Camry,2018,Sedan,Ağ,2.5,181,Benzin,0,Avtomat,Ön,Bəli,Bəli
8300,AZN,Bakı,Opel,Astra,2001,Hetçbek / Liftbek,Qırmızı,1.4,101,Benzin,312722,Avtomat,Ön,Xeyr,Xeyr
37500,AZN,Bakı,Hyundai,Sonata,2016,Sedan,Qara,2,274,Benzin,34200,Avtomat,Ön,Xeyr,Xeyr
21500,$,Bakı,Ford,Explorer,2012,Offroader / SUV,Qara,3.5,294,Benzin,103000,Avtomat,Tam,Xeyr,Xeyr
16600,AZN,Bakı,LADA (VAZ),Niva,2016,Offroader / SUV,Göy,1.7,80,Benzin,678451,Mexaniki,Tam,Xeyr,Xeyr
3150,AZN,Bakı,LADA (VAZ),2107,1994,Sedan,Qırmızı,1.6,75,Benzin,300000,Mexaniki,Arxa,Xeyr,Xeyr
24900,AZN,Bakı,Mercedes,E 220,2006,Sedan,Gümüşü,2.2,170,Dizel,168000,Avtomat,Arxa,Xeyr,Xeyr
31500,$,Bakı,BMW,535,2010,Sedan,Yaş Asfalt,3,306,Benzin,180000,Avtomat,Arxa,Xeyr,Bəli
18900,$,Bakı,Mercedes,E 350,2009,Sedan,Ağ,3.5,272,Benzin,107000,Avtomat,Arxa,Xeyr,Xeyr
21500,$,Bakı,Mercedes,GL 550,2008,Offroader / SUV,Qara,5.5,388,Benzin,198000,Avtomat,Tam,Xeyr,Bəli
24000,$,Bakı,BMW,X6,2009,Offroader / SUV,Ağ,4.4,407,Benzin,125000,Avtomat,Tam,Xeyr,Bəli
13700,AZN,Sumqayıt,Mercedes,E 240,2000,Sedan,Yaşıl,2.4,170,Benzin,235700,Avtomat,Arxa,Xeyr,Xeyr
16950,AZN,Bakı,Mercedes,E 240,2002,Sedan,Ağ,2.4,177,Benzin,260000,Avtomat,Arxa,Xeyr,Xeyr
11800,AZN,Sumqayıt,BMW,745,2003,Sedan,Qara,4.4,333,Benzin,175700,Avtomat,Arxa,Xeyr,Xeyr
9100,$,Bakı,Hyundai,Elantra,2010,Sedan,Boz,2,145,Benzin,83951,Avtomat,Ön,Xeyr,Xeyr
41500,$,Bakı,Jeep,Grand Cherokee,2014,Offroader / SUV,Ağ,3,250,Dizel,58200,Avtomat,Tam,Xeyr,Xeyr
48800,$,Bakı,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4,282,Benzin,43600,Avtomat,Tam,Xeyr,Bəli
16000,AZN,Bakı,LADA (VAZ),Granta,2018,Sedan,Göy,1.6,98,Benzin,0,Avtomat,Ön,Bəli,Xeyr
108500,$,Bakı,Mercedes,GLE 43 AMG Coupe,2018,Offroader / SUV,Qara,3,396,Benzin,0,Avtomat,Tam,Bəli,Bəli
50800,$,Bakı,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4,282,Benzin,28600,Avtomat,Tam,Xeyr,Bəli
18500,$,Bakı,Porsche,Cayenne GTS,2009,Offroader / SUV,Ağ,4.8,450,Benzin,185000,Avtomat,Tam,Xeyr,Xeyr
25800,$,Bakı,BMW,530,2010,Sedan,Ağ,3,245,Benzin,150000,Avtomat,Arxa,Xeyr,Xeyr
10800,AZN,Bakı,Ford,Ecosport,2004,Offroader / SUV,Gümüşü,2,85,Benzin,151000,Mexaniki,Ön,Xeyr,Bəli
10200,AZN,Şəki,LADA (VAZ),2115,2012,Sedan,Qara,1.6,75,Benzin,46900,Mexaniki,Ön,Xeyr,Bəli
19900,AZN,Bakı,Nissan,Juke,2012,Offroader / SUV,Qara,1.6,93,Benzin,85000,Avtomat,Ön,Xeyr,Xeyr
22500,$,Bakı,Audi,A6,2011,Sedan,Ağ,2.8,204,Benzin,143000,Avtomat,Ön,Xeyr,Xeyr
16900,AZN,Bakı,Toyota,Prado,2000,Offroader / SUV,Ağ,3,125,Dizel,470000,Mexaniki,Tam,Xeyr,Xeyr
58000,$,Bakı,Mercedes,G 500,2008,Offroader / SUV,Ağ,5,388,Benzin,130000,Avtomat,Tam,Xeyr,Bəli
13500,AZN,Bakı,Renault,Megane,2008,Universal,Göy,1.5,106,Dizel,177000,Mexaniki,Ön,Xeyr,Xeyr
5450,AZN,Bakı,Tofas,Sahin,2006,Sedan,Qara,1.6,86,Benzin,92865,Mexaniki,Arxa,Xeyr,Xeyr
110000,AZN,Bakı,Lexus,LX 570,2011,Offroader / SUV,Ağ,5.7,390,Benzin,16000,Avtomat,Tam,Xeyr,Xeyr
45500,$,Bakı,Mercedes,G 55 AMG,2006,Offroader / SUV,Qara,5.5,450,Benzin,135000,Avtomat,Tam,Xeyr,Xeyr
46000,$,Bakı,Mercedes,E 200,2016,Sedan,Ağ,2,194,Dizel,42000,Avtomat,Arxa,Xeyr,Xeyr
22000,AZN,Bakı,Hyundai,Sonata,2013,Sedan,Boz,2.4,178,Benzin,71000,Avtomat,Ön,Xeyr,Bəli
5800,AZN,Bakı,BMW,525,1991,Sedan,Qara,2.5,170,Benzin,111111,Mexaniki,Arxa,Xeyr,Xeyr
11200,AZN,Şəmkir,LADA (VAZ),21099,2004,Sedan,Gümüşü,1.5,75,Benzin,68000,Mexaniki,Ön,Xeyr,Bəli
7700,AZN,Bakı,Opel,Astra,1998,Universal,Yaşıl,1.8,118,Benzin,219000,Mexaniki,Ön,Xeyr,Xeyr
9300,AZN,Bakı,LADA (VAZ),2115,2011,Sedan,Qara,1.6,80,Benzin,101350,Mexaniki,Ön,Xeyr,Xeyr
26900,$,Bakı,Mercedes,E 220,2013,Sedan,Qara,2.2,170,Dizel,139000,Avtomat,Arxa,Xeyr,Xeyr
7800,AZN,Bakı,Mercedes,C 280,1994,Sedan,Gümüşü,2.8,193,Benzin,250000,Avtomat,Arxa,Xeyr,Xeyr
3200,AZN,Tərtər,LADA (VAZ),2106,1983,Sedan,Bənövşəyi,1.5,65,Benzin,158000,Mexaniki,Arxa,Xeyr,Xeyr
2700,AZN,Bakı,LADA (VAZ),21011,1981,Sedan,Mavi,1.3,65,Benzin,188000,Mexaniki,Arxa,Xeyr,Xeyr
9500,AZN,Bakı,Land Rover,Freelander,2004,Offroader / SUV,Boz,2.5,177,Benzin,146192,Avtomat,Tam,Xeyr,Xeyr
9000,AZN,Bakı,LADA (VAZ),Priora,2008,Sedan,Qara,1.6,106,Benzin,150000,Mexaniki,Ön,Xeyr,Bəli
22000,AZN,Bakı,Toyota,Prius,2012,Universal,Gümüşü,1.8,99,Hibrid,160000,Avtomat,Ön,Xeyr,Bəli
25000,$,Bakı,Land Rover,Discovery,2010,Offroader / SUV,Qara,2.7,190,Dizel,184700,Avtomat,Tam,Xeyr,Xeyr
32000,$,Bakı,Toyota,Prado,2013,Offroader / SUV,Ağ,2.7,167,Benzin,18000,Avtomat,Tam,Xeyr,Xeyr
3000,AZN,Bakı,LADA (VAZ),Oka,2007,Hetçbek / Liftbek,Göy,0.5,35,Benzin,120000,Mexaniki,Ön,Xeyr,Xeyr
16000,AZN,Bakı,Ford,Transit,2008,Furqon,Sarı,2.2,148,Dizel,199000,Mexaniki,Ön,Xeyr,Bəli
2650,AZN,Bakı,LADA (VAZ),2106,1975,Sedan,Ağ,1.5,65,Benzin,344570,Mexaniki,Arxa,Xeyr,Xeyr
20900,$,Sumqayıt,BMW,X5,2007,Offroader / SUV,Göy,4.8,355,Benzin,142000,Avtomat,Tam,Xeyr,Xeyr
15500,AZN,Bakı,Mercedes,C 220,2006,Universal,Ağ,2.2,150,Dizel,162000,Avtomat,Arxa,Xeyr,Xeyr
48000,$,Bakı,Mercedes,SL 63 AMG,2008,Kabrio,Qara,6.2,544,Benzin,41000,Avtomat,Arxa,Xeyr,Bəli
116000,$,Bakı,Mercedes,S 63 AMG,2014,Sedan,Qara,6.3,585,Benzin,95000,Avtomat,Tam,Xeyr,Xeyr
24500,AZN,Sumqayıt,Mercedes,ML 350,2005,Offroader / SUV,Gümüşü,3.5,272,Benzin,110000,Avtomat,Tam,Xeyr,Xeyr
28700,$,Bakı,Infiniti,Q50,2016,Sedan,Qara,2.2,170,Dizel,9000,Avtomat,Ön,Xeyr,Xeyr
128500,$,Bakı,Mercedes,G 63 AMG,2015,Offroader / SUV,Ağ,5.5,571,Benzin,29500,Avtomat,Tam,Xeyr,Bəli
30700,$,Bakı,Mitsubishi,Pajero,2014,Offroader / SUV,Ağ,3.2,200,Dizel,97500,Avtomat,Tam,Xeyr,Xeyr
30000,AZN,Bakı,Hyundai,Grandeur,2012,Sedan,Qara,2.4,180,Benzin,149000,Avtomat,Ön,Xeyr,Xeyr
69900,$,Bakı,Mercedes,E 300,2017,Sedan,Qara,2,250,Benzin,27000,Avtomat,Arxa,Xeyr,Xeyr
13700,AZN,Bakı,Hyundai,i30,2008,Hetçbek / Liftbek,Qara,1.6,130,Benzin,152301,Avtomat,Ön,Xeyr,Xeyr
25800,$,Bakı,Mercedes,E 250,2010,Sedan,Gümüşü,2.5,204,Dizel,55500,Avtomat,Arxa,Xeyr,Xeyr
9800,AZN,Bakı,Renault,Scenic,2006,Minivan,Tünd qırmızı,1.5,109,Dizel,313500,Mexaniki,Ön,Xeyr,Bəli
40000,$,Bakı,Maserati,Quattroporte,2012,Sedan,Qara,4.7,440,Benzin,94000,Avtomat,Arxa,Xeyr,Bəli
24500,AZN,Sumqayıt,Land Rover,Range Rover,2004,Offroader / SUV,Ağ,4.4,276,Benzin,226000,Avtomat,Tam,Xeyr,Bəli
10700,AZN,Sumqayıt,Chevrolet,Aveo,2008,Hetçbek / Liftbek,Qırmızı,1.4,108,Benzin,127000,Avtomat,Ön,Xeyr,Xeyr
6200,AZN,Saatlı,GAZ,330202-740,2001,Yük maşını,Ağ,2.3,101,Benzin,200000,Mexaniki,Arxa,Xeyr,Xeyr
11700,AZN,Sumqayıt,Mercedes,C 230,1999,Sedan,Qara,2.3,150,Benzin,333000,Avtomat,Arxa,Xeyr,Bəli
5800,AZN,Sumqayıt,Opel,Vectra,1996,Sedan,Qızılı,2,165,Benzin,210528,Avtomat,Ön,Xeyr,Xeyr
3000,AZN,Xudat,LADA (VAZ),2106,1991,Sedan,Bej,1.5,65,Benzin,356880,Mexaniki,Arxa,Xeyr,Xeyr
102000,$,Bakı,Lexus,LX 570,2014,Offroader / SUV,Ağ,5.7,388,Benzin,5900,Avtomat,Tam,Xeyr,Bəli
9600,AZN,Bakı,Chevrolet,Lacetti,2007,Sedan,Narıncı,1.6,106,Benzin,124566,Avtomat,Ön,Xeyr,Xeyr
9500,AZN,Bakı,LADA (VAZ),Granta,2013,Sedan,Ağ,1.6,82,Benzin,151000,Mexaniki,Ön,Xeyr,Xeyr
16300,AZN,Xırdalan,Chevrolet,Niva,2014,Offroader / SUV,Gümüşü,1.7,80,Benzin,9200,Mexaniki,Tam,Xeyr,Xeyr
15750,AZN,Bakı,Volkswagen,Touareg,2004,Offroader / SUV,Qara,3.2,220,Benzin,156000,Avtomat,Tam,Xeyr,Xeyr
9800,AZN,Sumqayıt,Mercedes,C 230,1998,Sedan,Qara,2.3,150,Benzin,217000,Avtomat,Arxa,Xeyr,Xeyr
18500,AZN,Bakı,Cadillac,SRX,2004,Offroader / SUV,Yaş Asfalt,4.6,320,Benzin,287000,Avtomat,Tam,Xeyr,Xeyr
16600,AZN,Bakı,Mitsubishi,Attrage,2016,Sedan,Göy,1.2,110,Benzin,28600,Avtomat,Ön,Xeyr,Xeyr
42500,$,Bakı,Land Rover,Discovery,2013,Offroader / SUV,Qara,5,382,Benzin,72000,Avtomat,Tam,Xeyr,Xeyr
8500,AZN,Mingəçevir,Peugeot,407,2004,Sedan,Qara,1.8,125,Benzin,113000,Mexaniki,Ön,Xeyr,Xeyr
4500,AZN,Bakı,LADA (VAZ),2107,2006,Sedan,Ağ,1.6,75,Benzin,105000,Mexaniki,Arxa,Xeyr,Xeyr
60000,$,Sumqayıt,Land Rover,Discovery,2015,Offroader / SUV,Yaş Asfalt,3,256,Dizel,88800,Avtomat,Tam,Xeyr,Bəli
39800,$,Bakı,Porsche,Cayenne,2013,Offroader / SUV,Ağ,3.6,300,Benzin,66320,Avtomat,Tam,Xeyr,Xeyr
31500,$,Bakı,Toyota,Land Cruiser,2007,Offroader / SUV,Qara,4.2,272,Dizel,215000,Avtomat,Tam,Xeyr,Bəli
25500,AZN,Bakı,Toyota,Prado,2004,Offroader / SUV,Qara,3,168,Dizel,200000,Mexaniki,Tam,Xeyr,Xeyr
14500,AZN,Bakı,Mercedes,B 170,2007,Hetçbek / Liftbek,Ağ,1.7,117,Benzin,52000,Avtomat,Ön,Xeyr,Xeyr
12900,AZN,Qəbələ,BMW,525,2000,Sedan,Göy,2.5,193,Benzin,111110,Avtomat,Arxa,Xeyr,Xeyr
5500,AZN,Lerik,UAZ,31519,2003,Offroader / SUV,Gümüşü,2.4,75,Benzin,120565,Mexaniki,Tam,Xeyr,Xeyr
44000,$,Bakı,Toyota,Camry,2018,Sedan,Ağ,2.5,181,Benzin,0,Avtomat,Ön,Bəli,Xeyr
420000,$,Bakı,Rolls-Royce,Wraith,2017,Kupe,Qara,6.5,571,Benzin,1800,Avtomat,Arxa,Xeyr,Bəli
22500,$,Bakı,BMW,X6,2008,Offroader / SUV,Qara,3,306,Benzin,157000,Avtomat,Tam,Xeyr,Xeyr
19700,AZN,Bakı,LADA (VAZ),Niva,2018,Offroader / SUV,Boz,1.7,80,Benzin,0,Mexaniki,Tam,Bəli,Bəli
23500,AZN,Bakı,BMW,X5,2005,Offroader / SUV,Qara,4.4,320,Benzin,150000,Avtomat,Tam,Xeyr,Xeyr
16600,$,Bakı,Volkswagen,Passat,2016,Sedan,Qara,1.8,180,Benzin,55000,Avtomat,Ön,Xeyr,Xeyr
75300,$,Bakı,Toyota,Land Cruiser,2018,Offroader / SUV,Qara,4,282,Benzin,0,Avtomat,Tam,Bəli,Xeyr
62500,$,Bakı,Lexus,LX 570,2012,Offroader / SUV,Ağ,5.7,383,Benzin,87000,Avtomat,Tam,Xeyr,Xeyr
7300,AZN,Bakı,Opel,Vectra,1999,Sedan,Ağ,1.8,125,Benzin,290000,Avtomat,Ön,Xeyr,Xeyr
21200,AZN,Bakı,Hyundai,Elantra,2014,Sedan,Ağ,1.8,150,Benzin,57000,Avtomat,Ön,Xeyr,Xeyr
10000,$,Bakı,Mitsubishi,Airtrek,2004,Offroader / SUV,Qara,2,350,Benzin,247000,Mexaniki,Tam,Xeyr,Xeyr
26500,$,Bakı,Mercedes,200,1975,Sedan,Qəhvəyi,2,120,Benzin,72000,Avtomat,Arxa,Xeyr,Xeyr
3900,AZN,Bakı,LADA (VAZ),21099,1998,Sedan,Qırmızı,1.5,75,Benzin,234561,Mexaniki,Ön,Xeyr,Xeyr
23000,$,Bakı,BMW,328,2013,Sedan,Qara,2,245,Benzin,112000,Avtomat,Arxa,Xeyr,Bəli
13800,AZN,Sumqayıt,Mercedes,E 200,2000,Sedan,Gümüşü,2,136,Benzin,289000,Avtomat,Arxa,Xeyr,Xeyr
3900,AZN,Quba,LADA (VAZ),2106,1996,Sedan,Bej,1.6,75,Benzin,191000,Mexaniki,Arxa,Xeyr,Xeyr
20900,$,Sumqayıt,Audi,A4,2014,Sedan,Ağ,1.8,180,Benzin,102076,Avtomat,Ön,Xeyr,Bəli
9300,AZN,Bakı,Mercedes,E 230,1996,Sedan,Qara,2.3,150,Benzin,430003,Avtomat,Arxa,Xeyr,Xeyr
14200,AZN,Sumqayıt,Hyundai,i20,2009,Hetçbek / Liftbek,Yaş Asfalt,1.6,126,Benzin,137000,Avtomat,Ön,Xeyr,Xeyr
13600,AZN,Bakı,Mitsubishi,Pajero,2003,Offroader / SUV,Gümüşü,3,190,Benzin,212466,Avtomat,Tam,Xeyr,Xeyr
30500,$,Bakı,Mercedes,GLK 220,2013,Offroader / SUV,Qara,2.2,170,Dizel,102000,Avtomat,Tam,Xeyr,Xeyr
47300,$,Bakı,Toyota,Prado,2018,Offroader / SUV,Ağ,2.7,167,Benzin,0,Avtomat,Tam,Bəli,Bəli
10800,AZN,Bakı,Mercedes,C 230,1997,Sedan,Ağ,2.3,150,Benzin,223000,Avtomat,Arxa,Xeyr,Xeyr
5500,AZN,Sumqayıt,LADA (VAZ),2106,2003,Sedan,Ağ,1.6,75,Benzin,231147,Mexaniki,Arxa,Xeyr,Bəli
35500,AZN,Bakı,Hyundai,Veracruz,2010,Offroader / SUV,Qara,3,180,Dizel,126000,Avtomat,Tam,Xeyr,Bəli
12500,AZN,Bakı,Mercedes,C 240,2000,Sedan,Gümüşü,2.4,170,Benzin,267000,Avtomat,Arxa,Xeyr,Xeyr
11900,AZN,Bakı,Mercedes,C 230,1998,Sedan,Qara,2.3,150,Benzin,239000,Avtomat,Arxa,Xeyr,Xeyr
2700,AZN,Bakı,Daewoo,Racer,1996,Sedan,Ağ,1.5,90,Benzin,388263,Mexaniki,Ön,Xeyr,Bəli
10600,AZN,Bakı,Mercedes,C 200,2001,Sedan,Gümüşü,2,150,Benzin,378000,Avtomat,Arxa,Xeyr,Xeyr
2800,AZN,Bakı,GAZ,24-10,1988,Sedan,Bej,2.3,131,Benzin,185326,Mexaniki,Arxa,Xeyr,Xeyr
47700,$,Bakı,Porsche,Cayenne,2015,Offroader / SUV,Ağ,3.6,300,Benzin,65000,Avtomat,Tam,Xeyr,Xeyr
18300,AZN,Bakı,Hyundai,Santa Fe,2006,Offroader / SUV,Qara,2.2,175,Dizel,255297,Avtomat,Tam,Xeyr,Bəli
28000,AZN,Bakı,BMW,530,2008,Sedan,Yaş Asfalt,3,272,Benzin,156000,Avtomat,Tam,Xeyr,Bəli
28500,AZN,Bakı,Kia,Rio,2018,Hetçbek / Liftbek,Qara,1.4,100,Benzin,13500,Avtomat,Ön,Xeyr,Xeyr
9500,AZN,Sumqayıt,Opel,Astra,2000,Hetçbek / Liftbek,Göy,1.6,101,Benzin,255000,Avtomat,Ön,Xeyr,Xeyr
19500,AZN,Bakı,Hyundai,Elantra,2012,Sedan,Ağ,1.8,150,Benzin,117750,Avtomat,Ön,Xeyr,Xeyr
38200,$,Bakı,Porsche,Cayenne,2012,Offroader / SUV,Ağ,3.6,365,Benzin,95000,Avtomat,Tam,Xeyr,Bəli
65000,$,Bakı,Mercedes,G 55 AMG,2009,Offroader / SUV,Qara,5.5,507,Benzin,67000,Avtomat,Tam,Xeyr,Xeyr
79300,$,Bakı,Toyota,Land Cruiser,2018,Offroader / SUV,Ağ,4,282,Benzin,0,Avtomat,Tam,Bəli,Xeyr
100000,$,Bakı,Porsche,Cayenne Turbo,2015,Offroader / SUV,Qara,4.8,520,Benzin,35000,Avtomat,Tam,Xeyr,Xeyr
40000,$,Bakı,Maserati,Quattroporte,2012,Sedan,Qara,4.7,440,Benzin,94000,Avtomat,Arxa,Xeyr,Bəli
12500,$,Bakı,Peugeot,RCZ,2013,Kupe,Mavi,1.6,200,Benzin,33000,Avtomat,Ön,Xeyr,Bəli
